JAP;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
55672;Minister of Armament;Ouchi Hyoe;1936;1964;1999;LWR;Administrative Genius;High;MJAPOuchi;X
55673;Minister of Armament;Tsushima Tadayuki;1936;1964;1999;LWR;Theoretical Scientist;High;MJAPTsushima;X
55674;Minister of Security;Miyamoto Kenji;1936;1964;1999;LWR;Man of the People;Medium;M5012;X
55675;Minister of Security;Minobe Ryokichi;1936;1964;1999;LWR;Silent Lawyer;High;MJAPMinobe;X
55676;Head of Military Intelligence;Komaki Omi;1936;1964;1999;LWR;Technical Specialist;High;MJAPKomaki;X
55677;Head of Government;Abe Iso;1936;1964;1999;SD;Naive Optimist;High;MJAPAbe;X
55678;Foreign Minister;Katayama Tetsu;1936;1964;1999;SD;Ideological Crusader;High;MJAPKatayama2;X
55679;Minister of Armament;Mizutani Chozaburo;1936;1964;1999;SD;Resource Industrialist;High;M5070;X
55680;Minister of Security;Matsuoka Komakichi;1936;1964;1999;SD;Compassionate Gentleman;High;MJAPMatsuoka;X
55681;Head of Military Intelligence;Suzuki Bunji;1936;1964;1999;SD;Political Specialist;High;MJAPSuzuki;X
55682;Foreign Minister;Takano Iwasaburo;1936;1964;1999;SD;Biased Intellectual;High;MJAPTakano;X
55683;Foreign Minister;Suzuki Bunji;1936;1964;1999;SD;Great Compromiser;High;MJAPSuzuki;X
55684;Minister of Armament;Matsuoka Komakichi;1936;1964;1999;SD;Laissez-Faire Capitalist;High;MJAPMatsuoka;X
55685;Minister of Armament;Kagawa Toyohiko;1936;1964;1999;SD;Resource Industrialist;High;MJAPKagawa;X
55686;Minister of Security;Matsumoto Jiichiro;1936;1964;1999;SD;Man of the People;High;MJAPMatsumoto;X
55687;Minister of Security;Mizutani Chozaburo;1936;1964;1999;SD;Crime Fighter;High;M5070;X
55688;Head of Military Intelligence;Kagawa Toyohiko;1936;1964;1999;SD;Technical Specialist;High;MJAPKagawa;X
55689;Head of Government;Konoe Fumimaro;1936;1964;1999;NS;Corporate Suit;High;M5034;X
55690;Foreign Minister;Nakano Seigo;1936;1964;1999;NS;Biased Intellectual;Medium;Nakano;X
55691;Minister of Armament;Kishi Nobusuke;1936;1964;1999;NS;Resource Industrialist;Medium;MJAPKishi2;X
55692;Minister of Security;Goto Fumio;1936;1964;1999;NS;Prince of Terror;High;M5005;X
55693;Head of Military Intelligence;Hashimoto Kingoro;1936;1964;1999;NS;Dismal Enigma;High;MJAPHashimoto;X
55694;Chief of Navy;Suetsugu Nobumasa;1936;1964;1999;NS;Indirect Approach Doctrine;Medium;M5106;X
55695;Chief of Air Force;Yamashita Tomoyuki;1936;1964;1999;NS;Carpet Bombing Doctrine;Medium;M5192;X
55696;Foreign Minister;Matsuoka Yosuke;1936;1964;1999;NS;Ideological Crusader;High;M5060;X
55697;Foreign Minister;Shiratori Toshio;1936;1964;1999;NS;Iron Fisted Brute;High;MJAPShiratori;X
55698;Foreign Minister;Okawa Shumei;1936;1964;1999;NS;Biased Intellectual;High;MJAPOkawa;X
55699;Minister of Armament;Ishiwata Sotaro;1936;1964;1999;NS;Resource Industrialist;High;MJAPIshiwata;X
55700;Minister of Armament;Arima Yoriyasu;1936;1964;1999;NS;Infantry Proponent;High;MJAPArima;X
55701;Minister of Armament;Kaya Okinori;1936;1964;1999;NS;Military Entrepreneur;High;MJAPKaya;X
55702;Minister of Armament;Hoshino Naoki;1936;1964;1999;NS;Resource Industrialist;High;MJAPHoshino;X
55703;Minister of Security;Yanagawa Heisuke;1936;1964;1999;NS;Prince of Terror;High;Yanagawa;X
55704;Minister of Security;Hirano Rikizo;1936;1964;1999;NS;Crooked Kleptocrat;High;MJAPHirano;X
55705;Minister of Security;Tachibana Kozaburo;1936;1964;1999;NS;Man of the People;High;MJAPTachibana;X
55706;Minister of Security;Yasui Eiji;1941;1964;1999;NS;Back Stabber;High;M5110;X
55707;Head of Military Intelligence;Shiina Etsusaburo;1936;1964;1999;NS;Industrial Specialist;High;MJAPShiina;X
55708;Head of Military Intelligence;Nishida Mitsugi;1936;1964;1999;NS;Political Specialist;High;MJAPNishida;X
55709;Chief of Staff;Masaki Jinzaburo;1936;1964;1999;NS;School of Psychology;Medium;MJAPMasaki;X
55710;Chief of Army;Masaki Jinzaburo;1936;1964;1999;NS;Static Defence Doctrine;Medium;MJAPMasaki;X
55711;Head of Government;Hiranuma Kiichiro;1936;1964;1999;FA;Backroom Backstabber;High;MJAPHiranuma2;X
55712;Foreign Minister;Hiranuma Kiichiro;1936;1964;1999;FA;Iron Fisted Brute;Medium;MJAPHiranuma2;X
55713;Minister of Armament;Godo Takuo;1936;1964;1999;FA;Battle Fleet Proponent;Medium;M5073;X
55714;Minister of Security;Shiono Suehiko;1936;1964;1999;FA;Prince of Terror;High;MJAPShiono;X
55715;Head of Military Intelligence;Kazami Akira;1936;1964;1999;FA;Dismal Enigma;High;MJAPKazami;X
55716;Chief of Navy;Yamamoto Eisuke;1936;1964;1999;FA;Decisive Naval Battle Doctrine;Medium;MJAPYamasuke;X
55717;Chief of Air Force;Doihara Kenji;1936;1964;1999;FA;Army Aviation Doctrine;Medium;M5193;X
55718;Foreign Minister;Hayashi Senjuro;1936;1964;1999;FA;Biased Intellectual;Medium;MJAPHayashi2;X
55719;Foreign Minister;Murata Shozo;1941;1964;1999;FA;Great Compromiser;Medium;MJAPMurata;X
55720;Foreign Minister;Tojo Hideki;1942;1964;1999;FA;General Staffer;Medium;M5042;X
55721;Minister of Armament;Shoda Kazue;1936;1964;1999;FA;Resource Industrialist;High;M5090;X
55722;Minister of Armament;Yoshino Shinji;1936;1964;1999;FA;Administrative Genius;High;MJAPYoshino;X
55723;Minister of Armament;Murata Shozo;1938;1964;1999;FA;Military Entrepreneur;Medium;MJAPMurata;X
55724;Minister of Armament;Yoshida Shigeru;1942;1964;1999;FA;Military Entrepreneur;Medium;MJAPYoshida;X
55725;Minister of Security;Abe Genki;1936;1964;1999;FA;Prince of Terror;Medium;M5114;X
55726;Minister of Security;Kido Koichi;1936;1964;1999;FA;Crime Fighter;Medium;M5108;X
55727;Minister of Security;Yuzawa Michio;1940;1964;1999;FA;Silent Lawyer;Medium;M5113;X
55728;Minister of Security;Tanabe Harumichi;1943;1964;1999;FA;Man of the People;Medium;M5112;X
55729;Head of Military Intelligence;Hayashi Senjuro;1936;1964;1999;FA;Logistics Specialist;High;MJAPHayashi2;X
55730;Head of Military Intelligence;Yamazaki Iwao;1936;1964;1999;FA;Political Specialist;High;M5103;X
55731;Chief of Staff;Tojo Hideki;1941;1964;1999;FA;School of Psychology;Medium;M5042;X
55732;Chief of Army;Tojo Hideki;1941;1964;1999;FA;Elastic Defence Doctrine;Medium;M5042;X
55733;Head of Government;Nakajima Chikuhei;1936;1964;1999;PA;Smiling Oilman;High;M5093;X
55734;Foreign Minister;Nagai Ryutaro;1936;1964;1999;PA;Iron Fisted Brute;High;MJAPNagai;X
55735;Foreign Minister;Arita Hachiro;1938;1964;1999;PA;Ideological Crusader;Medium;M5057;X
55736;Foreign Minister;Horikiri Zenbee;1940;1964;1999;PA;Ideological Crusader;Medium;MJAPHorikiri;X
55737;Minister of Armament;Maeda Yonezo;1936;1964;1999;PA;Resource Industrialist;High;MJAPMaeda;X
55738;Minister of Armament;Nakajima Chikuhei;1936;1964;1999;PA;Strategic Air Proponent;High;M5093;X
55739;Minister of Armament;Uchida Nobuya;1936;1964;1999;PA;Battle Fleet Proponent;High;MJAPUchida;X
55740;Minister of Armament;Tawara Magoichi;1936;1964;1999;PA;Resource Industrialist;High;MJAPTawara;X
55741;Minister of Armament;Nagai Ryutaro;1938;1964;1999;PA;Resource Industrialist;High;MJAPNagai;X
55742;Minister of Armament;Horikiri Zenbee;1939;1964;1999;PA;Resource Industrialist;Medium;MJAPHorikiri;X
55743;Minister of Armament;Tsutsumi Yasujiro;1940;1964;1999;PA;Theoretical Scientist;High;MJAPTsutsumi;X
55744;Minister of Armament;Inoue Tadashiro;1945;1964;1999;PA;Theoretical Scientist;High;MJAPInotada;X
55745;Minister of Armament;Ogasawara Sankuro;1946;1964;1999;PA;Laissez-Faire Capitalist;Medium;M5079;X
55746;Minister of Security;Kawarada Kakichi;1936;1964;1999;PA;Man of the People;High;M5099;X
55747;Minister of Security;Adachi Kenzo;1936;1964;1999;PA;Man of the People;High;MJAPAdachi;X
55748;Minister of Security;Kanemitsu Tsuneo;1936;1964;1999;PA;Compassionate Gentleman;High;MJAPKanemitsu;X
55749;Minister of Security;Yamazaki Tatsunosuke;1938;1964;1999;PA;Compassionate Gentleman;High;MJAPYamazaki;X
55750;Minister of Security;Oasa Tadao;1940;1964;1999;PA;Crime Fighter;High;MJAPOoasa;X
55751;Minister of Security;Horikiri Zenjiro;1945;1964;1999;PA;Crime Fighter;Medium;M5102;X
55752;Head of Military Intelligence;Kawashima Shojiro;1936;1964;1999;PA;Political Specialist;High;MJAPKawashima;X
55753;Head of Military Intelligence;Noda Takeo;1940;1964;1999;PA;Industrial Specialist;High;MJAPNodake;X
55754;Head of Military Intelligence;Inoue Tadashiro;1942;1964;1999;PA;Technical Specialist;High;MJAPInotada;X
55756;Head of Military Intelligence;Horikiri Zenjiro;1945;1964;1999;PA;Logistics Specialist;Medium;M5102;X
55757;Head of Government;Suzuki Kisaburo;1936;1964;1999;SC;Happy Amateur;High;MJAPSuzuki2;X
55758;Foreign Minister;Suzuki Kisaburo;1936;1964;1999;SC;The Cloak N Dagger Schemer;Medium;MJAPSuzuki2;X
55759;Foreign Minister;Yoshida Shigeru;1936;1964;1999;SC;Ideological Crusader;Medium;M5031;X
55760;Foreign Minister;Uehara Etsujiro;1940;1964;1999;SC;Biased Intellectual;High;MJAPUehara;X
55761;Foreign Minister;Ashida Hitoshi;1942;1964;1999;SC;Ideological Crusader;High;M5046;X
55762;Foreign Minister;Inukai Takeru;1944;1964;1999;SC;Apologetic Clerk;High;MJAPInukai;X
55763;Minister of Armament;Matsuno Tsuruhei;1936;1964;1999;SC;Resource Industrialist;High;MJAPMatsuno;X
55764;Minister of Armament;Yuki Toyotaro;1938;1964;1999;SC;Laissez-Faire Capitalist;High;MJAPYuki;X
55765;Minister of Armament;Ikeda Shigeaki;1940;1964;1999;SC;Resource Industrialist;High;M5081;X
55766;Minister of Armament;Hoshijima Jiro;1944;1964;1999;SC;Administrative Genius;Very High;M5071;X
55767;Minister of Armament;Tsushima Juichi;1945;1964;1999;SC;Resource Industrialist;High;M58030;X
55768;Minister of Armament;Fujiyama Aiichiro;1948;1964;1999;SC;Resource Industrialist;Medium;M5217;X
55769;Minister of Security;Kawamura Takeji;1936;1964;1999;SC;Silent Lawyer;Low;Kawamura;X
55770;Minister of Security;Hatoyama Ichiro;1936;1964;1999;SC;Back Stabber;High;MJAPHatoyama2;X
55771;Minister of Security;Ando Masazumi;1938;1964;1999;SC;Crime Fighter;High;MJAPAndo;X
55772;Minister of Security;Hayashi Joji;1942;1964;1999;SC;Silent Lawyer;Very High;MJAPHayashi;X
55773;Minister of Security;Hirokawa Kouzen;1945;1964;1999;SC;Man of the People;Very High;MJAPHirokawa;X
55774;Head of Military Intelligence;Hatoyama Ichiro;1936;1964;1999;SC;Dismal Enigma;High;MJAPHatoyama2;X
55775;Head of Military Intelligence;Uehara Etsujiro;1940;1964;1999;SC;Industrial Specialist;High;MJAPUehara;X
55776;Head of Military Intelligence;Kono Ichiro;1944;1964;1999;SC;Dismal Enigma;High;MJAPKono;X
55777;Head of Military Intelligence;Ogata Taketora;1945;1964;1999;SC;Political Specialist;High;MJAPOgata;X
55778;Head of State;H.I.M. Hirohito;1936;1964;1999;SD;Hirohito;High;M5001;X
55779;Head of State;Kawakami Hajime;1936;1964;1999;LE;Popular Figurehead;High;MJAPKawakami;X
55780;Head of State;Hasegawa Nyozekan;1936;1964;1999;LE;Barking Buffoon;High;MJAPHasegawa;X
55781;Head of Government;Kojima Kazuo;1936;1964;1999;SC;Flamboyant Tough Guy;High;MJAPKojima;X
55782;Head of Government;Mitsuchi Chuzo;1937;1964;1999;SC;Silent Workhorse;High;MJAPMitsuchi;X
55783;Head of Government;Hatoyama Ichiro;1944;1964;1999;SC;Backroom Backstabber;High;MJAPHatoyama2;X
55784;Head of Government;Kono Ichiro;1956;1964;1999;SC;Corporate Suit;High;MJAPKono;X
55785;Head of Government;Inoue Junnosuke;1936;1964;1999;ML;Naive Optimist;High;MJAPInoue;X
55786;Head of Government;Machida Chuji;1940;1964;1999;ML;Silent Workhorse;High;M5004;X
55787;Head of Government;Ugaki Kazushige;1941;1964;1999;ML;Old General;High;MJAPUgaki2;X
55788;Head of Government;Shidehara Kijuro;1944;1964;1999;ML;Corporate Suit;High;MJAPShidehara2;X
55789;Head of Government;Miki Bukichi;1948;1964;1999;ML;Backroom Backstabber;High;MJAPMiki;X
55790;Head of Government;Katayama Tetsu;1940;1964;1999;SD;Happy Amateur;High;MJAPKatayama2;X
55791;Head of Government;Mizutani Chozaburo;1948;1964;1999;SD;Naive Optimist;High;M5070;X
55792;Head of Government;Suzuki Mosaburo;1936;1964;1999;LWR;Ambitious Union Boss;High;MJAPSuzumo;X
55793;Head of Government;Miyamoto Kenji;1945;1964;1999;LWR;Silent Workhorse;High;M5012;X
55794;Head of Government;Oyama Ikuo;1936;1964;1999;LE;Ambitious Union Boss;High;MJAPOyama;X
55795;Head of Government;Nishio Suehiro;1945;1964;1999;LE;Backroom Backstabber;High;M5214;X
55796;Head of Government;Asanuma Inejiro;1936;1964;1999;ST;Backroom Backstabber;High;MJAPAsanuma;X
55797;Head of Government;Watanabe Masanosuke;1945;1964;1999;ST;Flamboyant Tough Guy;High;MJAPWatanabe;X
55798;Head of Government;Nakano Seigo;1936;1964;1999;NS;Flamboyant Tough Guy;Medium;Nakano;X
55799;Head of Government;Arima Yoriyasu;1942;1964;1999;NS;Backroom Backstabber;Medium;MJAPArima;X
55800;Head of Government;Kishi Nobusuke;1948;1964;1999;NS;Corporate Suit;Medium;MJAPKishi2;X
55801;Head of Government;Kuhara Fusanosuke;1936;1964;1999;FA;Corporate Suit;Medium;MJAPKuhara;X
55802;Head of Government;Higashikuni Naruhiko;1942;1964;1999;FA;Old General;High;M5038;X
55803;Head of Government;Shiono Suehiko;1947;1964;1999;FA;Backroom Backstabber;High;MJAPShiono;X
55804;Head of Government;Maeda Yonezo;1936;1964;1999;PA;Corporate Suit;Medium;MJAPMaeda;X
55805;Head of Government;Adachi Kenzo;1936;1964;1999;PA;Flamboyant Tough Guy;High;MJAPAdachi;X
55806;Head of Government;Nagai Ryutaro;1936;1964;1999;PA;Backroom Backstabber;High;MJAPNagai;X
55807;Head of Government;Kanemitsu Tsuneo;1936;1964;1999;PA;Happy Amateur;High;MJAPKanemitsu;X
55808;Head of Government;Okada Keisuke;1936;1964;1999;PA;Happy Amateur;High;M5002;X
55809;Head of Government;Hayashi Senjuro;1936;1964;1999;FA;Happy Amateur;High;MJAPHayashi2;X
55810;Head of Government;Abe Nobuyuki;1938;1964;1999;PA;Naive Optimist;High;M5035;X
55811;Head of Government;Yonai Mitsumasa;1940;1964;1999;ML;Old Admiral;High;M5036;X
55812;Head of Government;Tojo Hideki;1941;1964;1999;FA;Old General;High;M5042;X
55813;Head of Government;Terauchi Hisaichi;1946;1964;1999;FA;Old General;High;M5039;X
55814;Head of Government;Koiso Kuniaki;1944;1964;1999;FA;Corporate Suit;High;M5043;X
55815;Head of Government;Hirota Koki;1936;1964;1999;ML;Happy Amateur;High;M5003;X
55816;Head of Government;Yoshida Shigeru;1946;1964;1999;SC;Backroom Backstabber;High;M5031;X
55817;Foreign Minister;Sato Naotake;1937;1964;1999;ML;The Cloak N Dagger Schemer;Medium;M5053;X
55818;Foreign Minister;Okada Keisuke;1938;1964;1999;PA;Iron Fisted Brute;High;M5002;X
55819;Foreign Minister;Konoe Fumimaro;1938;1964;1999;NS;Apologetic Clerk;Medium;M5034;X
55820;Foreign Minister;Abe Nobuyuki;1939;1964;1999;PA;Iron Fisted Brute;Medium;M5035;X
55821;Foreign Minister;Shigemitsu Mamoru;1941;1964;1999;SC;Great Compromiser;Medium;M5050;X
55822;Foreign Minister;Togo Shigenori;1941;1964;1999;SC;Biased Intellectual;Medium;M5065;X
55823;Foreign Minister;Toyoda Teijiro;1941;1964;1999;PA;Iron Fisted Brute;Medium;M5061;X
55824;Foreign Minister;Tani Masayuki;1942;1964;1999;SC;Apologetic Clerk;Medium;M5066;X
55825;Minister of Armament;Hatta Yoshiaki;1938;1964;1999;PA;Resource Industrialist;Medium;M5082;X
55826;Minister of Armament;Fujiwara Ginjiro;1941;1964;1999;PA;Administrative Genius;Medium;M5084;X
55827;Minister of Armament;Toyoda Teijiro;1943;1964;1999;PA;Military Entrepreneur;Medium;M5061;X
55828;Minister of Armament;Sakonji Seizo;1944;1964;1999;PA;Battle Fleet Proponent;Medium;M5087;X
55829;Minister of Armament;Terauchi Hisaichi;1946;1964;1999;FA;Tank Proponent;High;M5039;X
55830;Minister of Armament;Yonai Mitsumasa;1940;1964;1999;ML;Battle Fleet Proponent;High;M5036;X
55831;Minister of Armament;Kobayashi Ichizo;1941;1964;1999;PA;Resource Industrialist;High;M5083;X
55832;Minister of Armament;Tojo Hideki;1942;1964;1999;FA;Infantry Proponent;Medium;M5042;X
55833;Minister of Armament;Kato Sotomatsu;1943;1964;1999;FA;Tank Proponent;Medium;M5094;X
55834;Minister of Security;Ohara Naoshi;1939;1964;1999;PA;Silent Lawyer;Medium;M5100;X
55835;Minister of Security;Omura Seiichi;1945;1964;1999;SC;Silent Lawyer;Very High;M5101;X
55836;Minister of Security;Ushio Shigenosuke;1936;1964;1999;PA;Crime Fighter;Very High;M5105;X
55837;Minister of Security;Kodama Hideo;1941;1964;1999;PA;Silent Lawyer;Low;M5109;X
55838;Minister of Security;Fujie Keisuke;1936;1964;1999;FA;Prince of Terror;Medium;M5115;X
55839;Minister of Security;Nakajima Kesago;1937;1964;1999;FA;Man of the People;Medium;M5116;X
55841;Minister of Security;Hirabayashi Morito;1939;1964;1999;FA;Prince of Terror;Medium;M5118;X
55842;Minister of Security;Teshima Fusataro;1940;1964;1999;FA;Crime Fighter;Medium;M5120;X
55843;Minister of Security;Nakamura Aketo;1941;1964;1999;FA;Crime Fighter;Medium;M5122;X
55844;Minister of Security;Tojo Hideki;1942;1964;1999;FA;Prince of Terror;Medium;M5042;X
55845;Minister of Security;Kato Hakujiro;1943;1964;1999;FA;Man of the People;Medium;M5124;X
55846;Minister of Security;Odachi Shigeo;1944;1964;1999;SC;Man of the People;Medium;M5125;X
55847;Minister of Security;Iimura Jo;1945;1964;1999;FA;Crime Fighter;Medium;M5126;X
55848;Head of Military Intelligence;Katayama Tetsu;1945;1964;1999;SD;Naval Intelligence Specialist;Medium;MJAPKatayama2;X
55849;Head of Military Intelligence;Ugaki Kazushige;1936;1964;1999;ML;Political Specialist;Medium;MJAPUgaki2;X
55850;Head of Military Intelligence;Takasu Shiro;1936;1964;1999;SC;Naval Intelligence Specialist;Medium;M5134;X
55851;Head of Military Intelligence;Nomura Naokuni;1937;1964;1999;PA;Naval Intelligence Specialist;Medium;M5135;X
55852;Head of Military Intelligence;Oka Takazumi;1938;1964;1999;PA;Logistics Specialist;Medium;M5137;X
55853;Head of Military Intelligence;Maeda Minoru;1940;1964;1999;PA;Technical Specialist;Medium;M5138;X
55854;Head of Military Intelligence;Suzuki Kantaro;1936;1964;1999;PA;Political Specialist;Medium;M5037;X
55855;Head of Military Intelligence;Honma Masaharu;1937;1964;1999;FA;Dismal Enigma;Medium;M5141;X
