EVT_901014_OPTIONA;Give into the Austrians;
EVT_901014_OPTIONB;It is time we became a free nation!;
EVT_901015_NAME;The centralisation of the Empire;
EVT_901015_DESC;After the Magyars gave into the Austrians, the Austrians have turned their attention to the rest of the Empire. They have sent a message to us declaring that we are to give up our autonomous status and be directly ruled from Vienna. What should we do?;
EVT_901015_OPTIONA;Give into the Austrians;
EVT_901015_OPTIONB;It is time we became a free nation!;
EVT_901016_NAME;The centralisation of the Empire;
EVT_901016_DESC;After the Magyars gave into the Austrians, the Austrians have turned their attention to the rest of the Empire. They have sent a message to us declaring that we are to give up our autonomous status and be directly ruled from Vienna. What should we do?;
EVT_901016_OPTIONA;Give into the Austrians;
EVT_901016_OPTIONB;It is time we became a free nation!;
EVT_901017_NAME;The centralisation of the Empire;
EVT_901017_DESC;After the Magyars gave into the Austrians, the Austrians have turned their attention to the rest of the Empire. They have sent a message to us declaring that we are to give up our autonomous status and be directly ruled from Vienna. What should we do?;
EVT_901017_OPTIONA;Give into the Austrians;
EVT_901017_OPTIONB;It is time we became a free nation!;
EVT_901017_OPTIONC;Join Poland;
EVT_901186_NAME;Galicia wants to join Poland!;
EVT_901186_DESC;Due to the recent turmoil in Austria-Hungary, Galicia, an autonomous part of Austria-Hungary, has decided to break away and join Poland!;
EVT_901186_OPTIONA;Of course!;
EVT_901186_OPTIONB;No, we must not anger our neighbours;
EVT_901187_NAME;Galicia joins Poland!;
EVT_901187_DESC;Galicia has broken away and joined Poland ! What shall we do ?;
EVT_901187_OPTIONA;We shall destroy them!;
EVT_901187_OPTIONB;We must let them go;
EVT_901018_NAME;Bohemia submits!;
EVT_901018_DESC;The government of Bohemia has agreed to abolish it's autonomous status and directly be apart of the Empire.;
EVT_901018_OPTIONA;Gott erhalte unsern Kaiser!;
EVT_901019_NAME;Bohemia leaves the Empire!;
EVT_901019_DESC;Instead of bowing to our righteous demand for them to end their autonomous status, Bohemia has declared it's independence. What shall we do?;
EVT_901019_OPTIONA;They shall be crushed!;
EVT_901019_OPTIONB;We don't need them anyway!;
EVT_901020_NAME;Croatia submits!;
EVT_901020_DESC;The government of Croatia has agreed to abolish it's autonomous status and directly be apart of the Empire.;
EVT_901020_OPTIONA;Gott erhalte unsern Kaiser!;
EVT_901021_NAME;Croatia leaves the Empire!;
EVT_901021_DESC;Instead of bowing to our righteous demand for them to end their autonomous status, Croatia has declared it's independence. What shall we do?;
EVT_901021_OPTIONA;They shall be crushed!;
EVT_901021_OPTIONB;We don't need them anyway!;
EVT_901022_NAME;Bosnia submits!;
EVT_901022_DESC;The government of Bosnia has agreed to abolish it's autonomous status and directly be apart of the Empire.;
EVT_901022_OPTIONA;Gott erhalte unsern Kaiser!;
EVT_901023_NAME;Bosnia leaves the Empire!;
EVT_901023_DESC;Instead of bowing to our righteous demand for them to end their autonomous status, Bosnia has declared it's independence. What shall we do?;
EVT_901023_OPTIONA;They shall be crushed!;
EVT_901023_OPTIONB;We don't need them anyway!;
EVT_901024_NAME;Galicia submits!;
EVT_901024_DESC;The government of Galicia has agreed to abolish it's autonomous status and directly be apart of the Empire.;
EVT_901024_OPTIONA;Gott erhalte unsern Kaiser!;
EVT_901025_NAME;Galicia leaves the Empire!;
EVT_901025_DESC;Instead of bowing to our righteous demand for them to end their autonomous status, Galicia has declared it's independence. What shall we do?;
EVT_901025_OPTIONA;They shall be crushed!;
EVT_901025_OPTIONB;We don't need them anyway!;
EVT_901026_NAME;Our proposition was rejected;
EVT_901026_DESC;The arrogant Magyars have rejected our proposal! Several ministers are suggesting we offer the Hungarians Bosnia to placate them. Many officers are calling for preperations of a punitive war against Hungary for this insult. What shall we do?;
EVT_901026_OPTIONA;Offer Bosnia to them;
EVT_901026_OPTIONB;Fight to maintain unity of Empire!;
EVT_901027_NAME;Our proposition was rejected;
EVT_901027_DESC;The arrogant Magyars have rejected our proposal! Several ministers are asking that we offer the Hungarians to maintain the status quo. A small number of them we should offer the Hungarians Bosnia to encourage this. Many officers are calling for preperations of a punitive war against Hungary for this insult. What shall we do?;
EVT_901027_OPTIONA;Offer Bosnia to them;
EVT_901027_OPTIONB;Offer the Status Quo;
EVT_901027_OPTIONC;Fight to maintain unity of Empire!;
EVT_901028_NAME;The second round of negotiations;
EVT_901028_DESC;The second round of negotiations have begun and the Austrians have offer us Bosnia to join our half of the Empire. While this is a token offer, we may have to accept it since if we again reject what the Austrians offer the Germans may interfere again. What should we do?;
EVT_901028_OPTIONA;Accept the offer;
EVT_901028_OPTIONB;This is a paltry offer!;
EVT_901029_NAME;Hungary accepts the offer;
EVT_901029_DESC;The Hungarian delegation to the Ausgleich negotiations has agreed to our offer of Bosnia. Our position in the Empire is now slightly weakened but at least it still exists.;
EVT_901029_OPTIONA;Gott erhalte unsern Kaiser!;
EVT_901030_NAME;What do with Bosnia;
EVT_901030_DESC;Now that we control Bosnia, the question as to what to do with it has surfaced. Many ministers wish to give to the Croatian government to ironically enough placate them. However many other ministers wish to merely keep Bosnia under it's current government. A small minority wish to end Bosnia's autonomy and directly add it to our Kingdom. What shall we do?;
EVT_901030_OPTIONA;Give it to Croatia;
EVT_901030_OPTIONB;Keep Bosnia as it is;
EVT_901030_OPTIONC;Annex it;
EVT_901031_NAME;Bosnia is now ours;
EVT_901031_DESC;The Magyars after gaining Bosnia from the Austrians have given it to us. While the majority of our ministers wish to add it directly to our nation, a dissenting minority wish to merely make it autonomous. What shall we do?;
EVT_901031_OPTIONA;Welcome home brothers!;
EVT_901032_NAME;The second round of negotiations;
EVT_901032_DESC;To save face from their eariler demand the Austrians are now offering that the Status Quo be maintained. It's clear they are too afraid of the Hungarian nation so people are calling that we end our involvement in the Empire. More level headed ministers are however advising we accept the Austrian offer. What shall we do?;
EVT_901032_OPTIONA;Accept the offer;
EVT_901032_OPTIONB;No, we will not accept this!;
EVT_901033_NAME;Crisis in the Danube;
EVT_901033_DESC;Austria and Hungary have broken off negotiations with each other! We should probably intervene, in order to prevent another war in Europe. It's clear the status quo will not solve this, so we have to favor one side over the other.;
EVT_901033_OPTIONA;Favour the Austrians;
EVT_901033_OPTIONB;Favour the Hungarians;
EVT_901033_OPTIONC;We have enough problems of our own;
EVT_901034_NAME;The Germans favour Austria!;
EVT_901034_DESC;The Germans have sided with Austria! They are demanding that we return to Dualism, and give Austria control over Croatia.;
EVT_901034_OPTIONA;Okay, but only since Germany has interfered, again;
EVT_901034_OPTIONB;No one could ever accept this! War!;
EVT_901035_NAME;The Germans favour Austria!;
EVT_901035_DESC;The Germans have pressured the Magyars to return to Dualism, albiet Croatia is ours and Hungary is forever weakened from that!;
EVT_901035_OPTIONA;Excellent!;
EVT_901036_NAME;The Germans favour Hungary!;
EVT_901036_DESC;The arrogant Germans have favored the Magyars! They demand that we grant full independence to Hungary by reducing our control Hungary to simple personal union, and give Hungary control over Bosnia! This means the end of the empire!;
EVT_901036_OPTIONA;Okay, we must save the Monarchy;
EVT_901036_OPTIONB;No one could ever accept this! War!;
EVT_901037_NAME;The Germans favour Hungary!;
EVT_901037_DESC;The Germans have chosen to side with us, and have pressured the Austrians to grant us independence and give us control over Bosnia, Galicia, and Croatia.;
EVT_901037_OPTIONA;Excellent!;
EVT_901038_NAME;Galicia is ours;
EVT_901038_DESC;The German intervention in the Ausgleich has spelt the end of the Austro-Hungarian Empire, but the important part for us is that we've been rewarded with Galicia!;
EVT_901038_OPTIONA;Long live the German-Polish brotherhood!;
EVT_901040_NAME;Austria is weak;
EVT_901040_DESC;The German intervention in the Ausgleich has destroyed the Austro-Hungarian Empire and Galicia was seceded to Poland. We are the only remaining part of the former Empire outside of Austria itself. Because Austria was greatly weakened, we could likely declare our independence without issue. However, we'd need Germany's protection from any future aggressions from Austria. Shall we court the Germans or not?;
EVT_901040_OPTIONA;Court the Germans;
EVT_901040_OPTIONB;Intrigue is not honorable;
EVT_901041_NAME;A message from Prague;
EVT_901041_DESC;The government of Bohemia has contacted us in secret declaring they wish to become a free nation and join Mitteleuropa. As we have weakened the Austrians so much, many officals are calling we 'finish the deed' and deprive them of Bohemia as well. What should we do?;
EVT_901041_OPTIONA;Welcome to Mitteleuropa!;
EVT_901041_OPTIONB;No, we disagree!;
EVT_901042_NAME;Bohemia leaves the Empire!;
EVT_901042_DESC;The Bohemian government has openly declared that it is a free nation and immediately joined Mitteleuropa. There is nothing we can do about this with the Germans now protecting them.;
EVT_901042_OPTIONA;Damn those Germans and Bohemians!;
EVT_901043_NAME;War in Austria-Hungary!;
EVT_901043_DESC;The Hungarians have risen up in open rebellion against Vienna ! Militia forces belonging to the Arrow Cross Party have overtaken the garrisons in Budapest and the Honved is mobilizing for war against us. Local Gendarmes previously assigned to security for the Ausgleich have been mobilized for war and are reporting for duty in capitol.;
EVT_901043_OPTIONA;Verdammt!;
EVT_901044_NAME;The end of Habsburg Tyranny!;
EVT_901044_DESC;We have finally declared our independence from the opressive and incompetent rule of Vienna. The Honved is ready for war and volunteers units have risen up in Budapest awaiting your command !;
EVT_901044_OPTIONA;István Bethlen shall lead us!;
EVT_901045_NAME;War in Austro-Hungary!;
EVT_901045_DESC;War and chaos have erupted in Austria-Hungary! We now must chose whether to support Hungary or Austria. Of course, we also have the option to simply stay neutral and become a free nation peaceably.;
EVT_901045_OPTIONA;Side with Hungary;
EVT_901045_OPTIONB;Side with Austria;
EVT_901045_OPTIONC;Declare our independence from Hungary;
EVT_901046_NAME;Croatia stays loyal to us!;
EVT_901046_DESC;Croatia has chosen to support us in the war against Austria!;
EVT_901046_OPTIONA;Hurrah for the eternal brotherhood of Slav and Magyar!;
EVT_901046_OPTIONB;No, we cannot trust these treacherous Croats;
EVT_901047_NAME;Croatia fights Hungary!;
EVT_901047_DESC;Croatia has decided to support us in the war against Hungary!;
EVT_901047_OPTIONA;Hurrah for the eternal brotherhood of Slavs and Germans!;
EVT_901047_OPTIONB;No, we cannot trust these treacherous Croats;
EVT_901048_NAME;Croatia declares independence!;
EVT_901048_DESC;With our war with Austria beginning, Croatia has taken the opprutunity to declare it's independence from us. However, they have kept out of the conflict. What should we do?;
EVT_901048_OPTIONA;Very well;
EVT_901048_OPTIONB;Destroy them!;
EVT_901049_NAME;War in Austro-Hungary!;
EVT_901049_DESC; War and chaos have erupted in Austria-Hungary! We now must chose whether to support Hungary or Austria. Of course, we also have the option to simply stay neutral and become a free nation peaceably.;
EVT_901049_OPTIONA;Side with Hungary;
EVT_901049_OPTIONB;Side with Austria;
EVT_901049_OPTIONC;Declare our independence from Austria;
EVT_901050_NAME;Bohemia fights Austria!;
EVT_901050_DESC;Bohemia has chosen to support us in the war against Austria!;
EVT_901050_OPTIONA;Hurrah for the eternal brotherhood of Slav and Magyar!;
EVT_901050_OPTIONB;No, we cannot trust these treacherous Czechs;
EVT_901051_NAME;Bohemia fights Hungary!;
EVT_901051_DESC;Bohemia has decided to support us in the war against Hungary! However, they have demanded that Slovakia be made part of Bohemia in the event of victory.;
EVT_901051_OPTIONA;Hurrah for the eternal brotherhood of Slav and German!;
EVT_901051_OPTIONB;No, we cannot trust these treacherous Czechs;
EVT_901052_NAME;Bohemia declares independence!;
EVT_901052_DESC;With our war with Hungary beginning, Bohemia has taken the opprutunity to declare it's independence from us. However, they have kept out of the conflict. What should we do?;
EVT_901052_OPTIONA;Very well;
EVT_901052_OPTIONB;Destroy them!;
EVT_901053_NAME;War in Austro-Hungary!;
EVT_901053_DESC;War and chaos have erupted in Austria-Hungary! We now must chose whether to support Hungary or Austria. Of course, we could attempt to unite with our Polish brothers.;
EVT_901053_OPTIONA;Side with Hungary;
EVT_901053_OPTIONB;Side with Austria;
EVT_901053_OPTIONC;Join Poland;
EVT_901054_NAME;Galicia fights Austria!;
EVT_901054_DESC;Galicia has decided to support us in the war against Austria!;
EVT_901054_OPTIONA;Hurrah for the eternal brotherhood of Poles and Magyars!;
EVT_901054_OPTIONB;No, we cannot trust these treacherous Poles;
EVT_901250_NAME;Galicia and Poland;
EVT_901250_DESC;Although we have succesfully taken control over Galicia, keeping it might prove too much for us to handle, especially, when we are engaged in deadly struggle with Austria. Several government officials proposed to offer this territory to Polish state in return for their assistance in our struggle to achieve independence...;
EVT_901250_OPTIONA;Offer Galicia to Poland;
EVT_901250_OPTIONB;Keep Galicia for ourselves;
EVT_901251_NAME;An offer from Hungary;
EVT_901251_DESC;The Hungarians have sent us an offer in which they will secede us Galicia and relinquish all claims upon it, if we join them in ongoning civil war in the Austro-Hungarian empire. How shall we respond ?;
EVT_901251_OPTIONA;Accept offer!;
EVT_901251_OPTIONB;We refuse !;
EVT_901252_NAME;Poland has accepted our offer;
EVT_901252_DESC;The Polish Regency Council has agreed to support as against Austria in return for dominion over Galicia. Their support will help to take pressure off an already overstretched Honveds.;
EVT_901252_OPTIONA;New allies for a new era!;
EVT_901055_NAME;Galicia fights Hungary!;
EVT_901055_DESC;Galicia has decided to support us in the war against Hungary!;
EVT_901055_OPTIONA;Hurrah for the eternal brotherhood of Poles and Austrians!;
EVT_901055_OPTIONB;No, we cannot trust these treacherous Poles;
EVT_901056_NAME;Galicia wants to join Poland!;
EVT_901056_DESC;Due to the recent turmoil in Austria-Hungary, Galicia, an autonomous part of Austria-Hungary, has decided to break away and join Poland!;
EVT_901056_OPTIONA;Of course!;
EVT_901056_OPTIONB;No, we must not anger our neighbors;
EVT_901057_NAME;Galicia joins Poland!;
EVT_901057_DESC;Galicia has broken away and joined Poland! There is little we can do about this however as we are already fighting the Magyars and the Germans would likely protect Poland.;
EVT_901057_OPTIONA;We shall destroy them!;
EVT_901057_OPTIONB;We must let them go;
EVT_901058_NAME;Galicia stays neutral!;
EVT_901058_DESC;Galicia has decided to stay out of the war.;
EVT_901058_OPTIONA;Very well;
EVT_901058_OPTIONB;This is an opportunity time to integrate Galicia into Austria!;
EVT_901059_NAME;War in Austro-Hungary!;
EVT_901059_DESC;War and chaos have erupted in Austria-Hungary! We now must chose whether to support Hungary or Austria. Of course, we also have the option to could unite with our Serbian brothers.;
EVT_901059_OPTIONA;Side with Hungary;
EVT_901059_OPTIONB;Side with Austria;
EVT_901059_OPTIONC;Join Serbia;
EVT_901059_OPTIOND;Declare independece from Austria-Hungary;
EVT_901060_NAME;Bosnia fights Austria!;
EVT_901060_DESC;Bosnia has decided to support us in the war against Austria!;
EVT_901060_OPTIONA;Hurrah for the eternal brotherhood of Slav and Magyar!;
EVT_901060_OPTIONB;No, we cannot trust these treacherous Bosnians;
EVT_901061_NAME;Bosnia fights Hungary!;
EVT_901061_DESC;Bosnia has decided to support us in the war against Hungary!;
EVT_901061_OPTIONA;Hurrah for the eternal brotherhood of Slav and Austrian!;
EVT_901061_OPTIONB;No, we cannot trust these treacherous Slavs;
EVT_901062_NAME;Bosnia wants to join us;
EVT_901062_DESC;Due to the recent turmoil in Austria-Hungary, Bosnia, an autonomous part of Austria-Hungary, has broken away and wishes to join Serbia.;
EVT_901062_OPTIONA;Of course!;
EVT_901062_OPTIONB;No, we must not anger our neighbors;
EVT_901063_NAME;Bosnia is now Serbian!;
EVT_901063_DESC;Bosnia has broken away and joined with Serbia!;
EVT_901063_OPTIONA;We shall destroy them!;
EVT_901063_OPTIONB;We must let them go;
EVT_901064_NAME;Bosnia stays neutral!;
EVT_901064_DESC;Bosnia has decided to stay neutral in war between us and Hungary.;
EVT_901064_OPTIONA;Very well;
EVT_901064_OPTIONB;This an opportune time to integrate Bosnia into Austria!;
EVT_901065_NAME;Claim Galicia?;
EVT_901065_DESC;Now that chaos has engulfed the Austro-Hungarian empire, we have the opportunity to reclaim Galicia for Poland!;
EVT_901065_OPTIONA;Attack!;
EVT_901065_OPTIONB;This is a bad idea;
EVT_901066_NAME;Peace with Austria?;
EVT_901066_DESC;We have liberated Galicia! Because of Austria's weak position, they probably have no chance of taking it back, and would probably accept a peace offer.;
EVT_901066_OPTIONA;Send them a peace deal;
EVT_901066_OPTIONB;No, we want more!;
EVT_901067_NAME;Peace with Hungary?;
EVT_901067_DESC;We have liberated Galicia! Because of Hungary's weak position, they probably have no chance of taking it back, and would probably accept a peace offer.;
EVT_901067_OPTIONA;Send them a peace deal;
EVT_901067_OPTIONB;No, we want more!;
EVT_901068_NAME;Poland offers peace;
EVT_901068_DESC;Poland has offered peace, however we must secede Galicia and relinquish all claims on it.;
EVT_901068_OPTIONA;Those damn Poles!;
EVT_901068_OPTIONB;Never!;
EVT_901069_NAME;Poland offers peace;
EVT_901069_DESC;Poland has offered peace, however we must secede Galicia and relinquish all claims on it.;
EVT_901069_OPTIONA;Those damn Poles!;
EVT_901069_OPTIONB;Never!;
EVT_901569_NAME;Claim Venice and Trento?;
EVT_901569_DESC;Now that chaos has engulfed the Austro-Hungarian empire, we have the opportunity to reclaim Venice and possibly get Trento!;
EVT_901569_OPTIONA;Attack!;
EVT_901569_OPTIONB;This is a bad idea;
EVT_901070_NAME;Peace with Austria ?;
EVT_901070_DESC;We have liberated Venice and Trento! Because of Austria's weak position, they probably have no chance of taking it back, and would probably accept a peace offer.;
EVT_901070_OPTIONA;We want Trento and Venice;
EVT_901070_OPTIONB;We only want Venice;
EVT_901070_OPTIONC;No, we want more!;
EVT_901071_NAME;The Federation offers peace;
EVT_901071_DESC;The Italian Federation has offered peace, however we must secede Venice and relinquish all claims on it.;
EVT_901071_OPTIONA;Those damn Italians!;
EVT_901071_OPTIONB;Never!;
EVT_901072_NAME;The Federation offers peace;
EVT_901072_DESC;The Italian Federation has offered peace, however we must secede Venice and Trento.;
EVT_901072_OPTIONA;Those damn Italians!;
EVT_901072_OPTIONB;Never!;
EVT_901138_NAME;Peace with Italy?;
EVT_901138_DESC;We have succesfully defended our Italian provinces against Italian onslaught and launched counterattack, which brought us before the gates of Rome ! Because of Italy´s weak position, they probably have no chance to push us back, and would probably accept a peace offer.;
EVT_901138_OPTIONA;Restore status quo;
EVT_901138_OPTIONB;Restore status quo and impose friendly government;
EVT_901138_OPTIONC;Continue War!;
EVT_901139_NAME;Austria offers peace;
EVT_901139_DESC;Austria has offered peace, however we must partially demobilize our armed forces and relinquish all claims on Austrian territory.;
EVT_901139_OPTIONA;Those damn Austrians!;
EVT_901139_OPTIONB;Never!;
EVT_901140_NAME;Austria offers peace;
EVT_901140_DESC;Austria has offered peace, however we must relinquish all claims on Austrian territory and become austrian dominion once more.....;
EVT_901140_OPTIONA;Those damn Austrians!;
EVT_901140_OPTIONB;Never!;
EVT_901141_NAME;Italy submits !;
EVT_901141_DESC;Italy caves in to the Austrian Empire as expected. Our interests on Apenine peninsula are now secured.;
EVT_901141_OPTIONA;Hurrah!;
EVT_901182_NAME;Submission to Austria;
EVT_901182_DESC;We have surrendered to Austria and we have been forced to become their puppet, with a King on our throne.;
EVT_901182_OPTIONA;Hurrah!;
EVT_901142_NAME;Peace with Italy?;
EVT_901142_DESC;We have succesfully defended our Italian provinces against Italian onslaught and launched counterattack, which brought us before the gates of Rome ! Because of Italy´s weak position, they probably have no chance to push us back, and would probably accept a peace offer.;
EVT_901142_OPTIONA;Restore status quo;
EVT_901142_OPTIONB;Restore status quo and impose friendly government;
EVT_901142_OPTIONC;Continue War!;
EVT_901143_NAME;Austria-Hungary offers peace;
EVT_901143_DESC;Austria-Hungary has offered peace, however we must partially demobilize our armed forces and relinquish all claims on Austro-Hungarian territory.;
EVT_901143_OPTIONA;Those damn Austrians!;
EVT_901143_OPTIONB;Never!;
EVT_901144_NAME;Austria-Hungary offers peace;
EVT_901144_DESC;Austria-Hungary has offered peace, however we must relinquish all claims on Austro-Hungarian territory and become austrian dominion once more.....;
EVT_901144_OPTIONA;Those damn Austrians!;
EVT_901144_OPTIONB;Never!;
EVT_901145_NAME;Italy submits !;
EVT_901145_DESC;Italy caves in to the Austro-Hungarian empire as expected. Our interests on Apenine peninsula are now secured.;
EVT_901145_OPTIONA;Hurrah!;
EVT_901183_NAME;Submission to Austria;
EVT_901183_DESC;We have surrendered to Austria and we have been forced to become their puppet, with a King on our throne.;
EVT_901183_OPTIONA;Hurrah!;
EVT_901146_NAME;Peace with Italy?;
EVT_901146_DESC;We have succesfully defended our Italian provinces against Italian onslaught and launched counterattack, which brought us before the gates of Rome ! Because of Italy´s weak position, they probably have no chance to push us back, and would probably accept a peace offer.;
EVT_901146_OPTIONA;Restore status quo;
EVT_901146_OPTIONB;Restore status quo and impose friendly government;
EVT_901146_OPTIONC;Continue War!;
EVT_901147_NAME;Danubian Federation offers peace;
EVT_901147_DESC;Danubian Federation has offered peace, however we must partially demobilize our armed forces and relinquish all claims on their territory.;
EVT_901147_OPTIONA;Those damn Austrians!;
EVT_901147_OPTIONB;Never!;
EVT_901148_NAME;Danubian Federation offers peace;
EVT_901148_DESC;Danubian Federation has offered peace, however we must relinquish all claims on their territory and become austrian dominion once more.....;
EVT_901148_OPTIONA;Those damn Austrians!;
EVT_901148_OPTIONB;Never!;
EVT_901149_NAME;Italy submits !;
EVT_901149_DESC;Italy caves in to the Danubian Federation as expected. Our interests on Apenine peninsula are now secured.;
EVT_901149_OPTIONA;Hurrah!;
EVT_901184_NAME;Submission to Austria;
EVT_901184_DESC;We have surrendered to Austria and we have been forced to become their puppet, with a King on our throne.;
EVT_901184_OPTIONA;Hurrah!;
EVT_901073_NAME;Kefalonia is cut off from supply!;
EVT_901073_DESC;The Greek island of Kefalonia, given to Austria after the first World War, has been cut off from supply, leaving it poorly defended against foriegn occupation.;
EVT_901073_OPTIONA;This could be bad...;
EVT_901075_NAME;Occupy Kefalonia?;
EVT_901075_DESC;The Greek island of Kefalonia, given to Austria after the first World War, has been cut off from supply, leaving it poorly defended against foriegn occupation.;
EVT_901075_OPTIONA;Onwards to Kefalonia!;
EVT_901075_OPTIONB;Maybe this is a bad idea;
EVT_901076_NAME;Greece occupies Kefalonia!;
EVT_901076_DESC;Greece has occupied the island of Kefalonia! There is nothing we can do, we do not the ability or resources to wage an overseas invasion.;
EVT_901076_OPTIONA;We don't need that rock anyway!;
EVT_85650_NAME;Montenegrians demand independence !;
EVT_85650_DESC;With Austria engaged in lenghty war, some montenegrian separatists saw this as a chance to break from indivisible Habsburg Empire. Their numbers are too large for local garrisons and police forces to crush. We can either bring larger military units to fight with them, or give them, what they want.;
EVT_85650_OPTIONA;Let them go;
EVT_85650_OPTIONB;Fight to maintain unity of Empire!;
EVT_85651_NAME;Freedom at last;
EVT_85651_DESC;After years of austrian occupation we are finally free ! Never shall we bow before foreign occupiers !;
EVT_85651_OPTIONA;We will be independent or die!;
EVT_85652_NAME;Freedom at last;
EVT_85652_DESC;Habsburg empire facing many external threats had no choice but to submit before rightfull demands of the Montenegrian nation. We are free once more !;
EVT_85652_OPTIONA;We are free now!;
EVT_85653_NAME;Montenegro still exist !;
EVT_85653_DESC;Even concentration of our armed forces could not break apart rebellious state of Montenegro .Some members of general staff suggest that continuing with this fruitless effort greatly weakens our armed forces, so that they may be unable to defend our independence from greater powers. Shall we recognize independence of Montenegro ?;
EVT_85653_OPTIONA;Recognize their independence;
EVT_85653_OPTIONB;Peace? Never!;
EVT_85654_NAME;Montenegrian revolution;
EVT_85654_DESC;After years of croatian occupation, the people of Montenegro has decided to throw off shackles of croatian opression and fight for their freedom. This is indeed a great oportunity to weaken hated Dual Monarchy, which is currently ripped apart by raging civil war.;
EVT_85654_OPTIONA;Send them everything they need!;
EVT_85654_OPTIONB;Ally with Montenegro;
EVT_85654_OPTIONC;It is too risky;
EVT_85655_NAME;Serbian help arrives;
