EVT_750359_OPTIONA;Yes.  We need all the allies we can get.;
EVT_750359_OPTIONB;No, Our destiny lies elsewhere!;
EVT_750387_NAME;Turkish Power;
EVT_750387_DESC;The Ottomans and the Cossacks have signed an alliance and have suggested that we join them in order to preserve the security of all Turkic peoples. We are very vulnerable in the Caucasus and this could be an excellent way of maintaining our independence.;
EVT_750387_OPTIONA;Yes.  We need all the allies we can get.;
EVT_750387_OPTIONB;No, Our destiny lies elsewhere!;
EVT_750360_NAME;Russia Resurgent;
EVT_750360_DESC;Our Russian neighbours seem to be taking a more active role in global affairs.  We should decide our stance towards them before they decide to deal with us themselves.;
EVT_750360_OPTIONA;We shall serve the Russians as we have always done.;
EVT_750360_OPTIONB;We shall stand with the Russians independently.;
EVT_750360_OPTIONC;We are free Cossacks and need no master!;
EVT_750361_NAME;The Cossacks' Resolve;
EVT_750361_DESC;The Cossacks have offered to serve us as long as we promise to maintain their freedoms and sovereignity within the Don-Kuban region.;
EVT_750361_OPTIONA;We shall welcome the Cossacks with open arms!;
EVT_750361_OPTIONB;We are sorry, our interests lie elsewhere.;
EVT_750361_OPTIONC;The Cossacks have no place in the modern world.  Their lands are Russian!;
EVT_750362_NAME;The Cossacks' Resolve;
EVT_750362_DESC;The Cossacks have offered to enter into a full alliance with Russia.;
EVT_750362_OPTIONA;We accept the offer of our Cossack brothers.;
EVT_750362_OPTIONB;Russia has no need of an alliance with the Cossacks.;
EVT_750362_OPTIONC;The Cossacks have no place in the modern world. Their lands are Russian!;
EVT_750363_NAME;The Cossacks Resolve;
EVT_750363_DESC;The Cossacks have asserted that they are free from Russia's sphere of influence! What should we do?;
EVT_750363_OPTIONA;What the Cossacks say is of no interest;
EVT_750363_OPTIONB;Send gifts to appease them.;
EVT_750363_OPTIONC;The Cossacks have no place in the modern world. Their lands are Russian!;
EVT_750364_NAME;Russia Resurgent;
EVT_750364_DESC;The rhetoric of the Russian government has become very worrying of late, they seem to want to take back all former Russian lands. We should approach them while they are busy elsewhere before they decide to deal with us themselves.;
EVT_750364_OPTIONA;We shall offer to serve the Russians as we have always done.;
EVT_750364_OPTIONB;We shall stand with the Russians independently.;
EVT_750364_OPTIONC;We are free Cossacks and need no masters!;
EVT_750365_NAME;The Cossacks' Resolve;
EVT_750365_DESC;The Cossacks have offered to serve us as long as we promise to maintain their freedoms and sovereignty within the Don-Kuban region.;
EVT_750365_OPTIONA;We shall welcome the Cossacks with open arms!;
EVT_750365_OPTIONB;We are sorry, our interests lie elsewhere.;
EVT_750365_OPTIONC;The Cossacks have no place in the modern world. Their lands are Russian!;
EVT_750366_NAME;The Cossacks' Resolve;
EVT_750366_DESC;The Cossacks have offered to enter into a full alliance with Russia.;
EVT_750366_OPTIONA;We accept the offer of our Cossack brothers.;
EVT_750366_OPTIONB;Russia has no need of an alliance with the Cossacks.;
EVT_750366_OPTIONC;The Cossacks have no place in the modern world. Their lands are Russian!;
EVT_750367_NAME;The Cossacks Resolve;
EVT_750367_DESC;The Cossacks have asserted that they are free from Russia's sphere of influence! What should we do?;
EVT_750367_OPTIONA;Send gifts to appease them.;
EVT_750367_OPTIONB;The Cossacks have no place in the modern world. Their lands are Russian!;
EVT_750367_OPTIONC;We shall show those stinking Cossacks who's boss! Charge!;
EVT_750369_NAME;The Tsar Comes to the Don;
EVT_750369_DESC;The Tsar has come to Krasnodar to be formally recognised as Overlord of the Cossack territories. A grand council has been held and all the Cossack clans have sworn fealty to their new Emperor. Our people rejoice all along the Don and the Kuban!;
EVT_750369_OPTIONA;God save the Tsar!;
EVT_750370_NAME;The Tsar Comes to the Don;
EVT_750370_DESC;To fulfill the agreement with the Cossacks the Tsar has visited Krasnodar to be formally recognised as Overlord of the Cossack territories. A grand council has been held and all the Cossack clans have sworn fealty to their new Emperor. The Cossacks rejoice all along the Don and the Kuban, the whole ceremony has been relayed across the Empire by radio broadcast and our subjects flock to watch the newsreels in the cinema!;
EVT_750370_OPTIONA;God Save The Tsar! A triumph of propaganda!;
EVT_758110_NAME;Cossack Autonomy;
EVT_758110_DESC;With Russian control over the Kuban steppes stabilized some members of our goverment think that now the time is ripe for the integration of Don-Kuban into the growing Russian empire. It would now be quite easy to pass a series of laws which would ensure that the region is more firmly integrated into Russia.;
EVT_758110_OPTIONA;It is time for Russia to directly rule over the Kuban steppes!;
EVT_758110_OPTIONB;The Cossacks must remain autonomous.;
EVT_758111_NAME;Don-Kuban region reincorporated into Russia;
EVT_758111_DESC;Areas of the former Cossack state are now firmly integrated into mother Russia.;
EVT_758111_OPTIONA; Great!;
EVT_750372_NAME;Berlin Stock Crisis comes to the Don-Kuban Republic;
EVT_750372_DESC;As predicted the republic's finances and economy are in deep crisis. The average Cossack faces problems selling his products and a number of factories are closing. This means that various dangerous elements will have a greater impact upon the political landscape of the Cossack republic.;
EVT_750372_OPTIONA;God save us from the worst.;
EVT_750376_NAME;Initial stabilisation;
EVT_750376_DESC;With the first wave of the crisis slowly passing by, some less affected branches of the economy have bounced off the bottom. Still, the overall state of our economy does not look optimistic...;
EVT_750376_OPTIONA;Let´s hope stabilisation will come soon.;
EVT_750377_NAME;Further stabilisation;
EVT_750377_DESC;The economy continues to regain pre-crisis efficiency.;
EVT_750377_OPTIONA;Keep it up!;
EVT_750373_NAME;An Illegal trade union was found;
EVT_750373_DESC;We have found another secret trade union in one of our factories. Workers have united to demand higher wages and better workplaces. We must blame the spread of socialist propaganda for this!;
EVT_750373_OPTIONA;Disband the union and arrest the workers!;
EVT_750373_OPTIONB;Allow to operate but watch them closely;
EVT_750374_NAME;The Chechen minority is causing problems!;
EVT_750374_DESC;Yesterday, on the tenth aniversary of our annexation of the Mountainous Republic of the Northern Caucasus, various politicians and major Islamic religious figures have ignited strikes and riots in Grozny. Production in the city's factories and oil refineries has been stopped and large parts of population are on hunger strikes. Leaders of this city-wide strike have announced that they will fight for the Mountainous Republic of the Northern Caucasus no matter what consequences they will face.;
EVT_750374_OPTIONA;Negotiate with them.;
EVT_750374_OPTIONB;Send the army to Grozny!;
EVT_750379_NAME;Negotiations with Chechen leaders;
EVT_750379_DESC;In an effort to prevent the potential conflict which could disrupt our fragile state we have entered negotiations with various Chechen leaders. What shall we offer them?;
EVT_750379_OPTIONA;Offer them religious and cultural autonomy.;
EVT_750379_OPTIONB;Demand an end to the strikes and riots instead!;
EVT_750380_NAME;Result of negotiations;
EVT_750380_DESC;Our offer to the rebellious population of Caucasus was received by representatives of revolters and now we are awaiting their response...;
EVT_750380_OPTIONB;Our offer was refused!;
EVT_750380_OPTIONC;Our offer was accepted!;
EVT_750381_NAME;Failure of Negotiations;
EVT_750381_DESC;Our offer to the revolting population of the Caucasus was received by representatives of rebels and now we are awaiting their response...;
EVT_750381_OPTIONB;Send the army to Grozny!;
EVT_750382_NAME;Battle of Grozny !;
EVT_750382_DESC;With failure of our attempt to solve problems with Chechens through negotiations, armed forces of our state have launched an offensive, which aim is to clear Chechenya of all revolters. Our forces advancing directly along road from Vladikavkaz to Grozny have easily defeated few scattered rebel units, but then have entered serious resistance on the outskirts of Grozny. The rebels have dug themselves on the nearby mountains in effort to keep us from entering Grozny.;
EVT_750382_OPTIONB;The rebellious Caucasians were defeated !;
EVT_750382_OPTIONC;Armed forces suffered terrible losses;
EVT_750383_NAME;The Siege of Grozny;
EVT_750383_DESC;After failure of attempt to immediatly storm Grozny, our armed forces were forced to dug around rebel capital Grozny to try and force it to surrender. Hovewer due to our inability to force rebels to surrender, other guerillas have risen up in our rear and are threatening our supply positions. Our only chance how to prevent large scale uprising through Caucasus is to seize Grozny as soon as possible....;
EVT_750383_OPTIONB;The Armed forces have captured Grozny !;
EVT_750383_OPTIONC;The Rebels have regrouped and launched a counter-offensive;
EVT_750384_NAME;Caucasian revolts spread;
EVT_750384_DESC;Our defeat in the siege of Grozny had given hope to other Caucasian nationalities. What started just as a uprising of Chechnyan nation against our state, as almost all Caucasian nationalities have taken arms to try and gain freedom. What shall we do ?;
EVT_750384_OPTIONA;We must let them go....;
EVT_750384_OPTIONB;We must crush them !;
EVT_750385_NAME;Mountainous Republic of the Northern Caucasus;
EVT_750385_DESC;...Nobody sees this...;
EVT_750385_OPTIONA;A new beginning;
EVT_750386_NAME;Mountainous Republic of the Northern Caucasus still exists!;
EVT_750386_DESC;Even the concentration of our elite armed forces could not break apart the rebellious state of Kurdistan. Some members of the general staff suggest that continuing with this fruitless effort greatly weakens our forces facing the hostile Arabian states of Hejaz and Egypt. Shall we recognize the independence of Kurdistan?;
EVT_750386_OPTIONA;Accept their independence....;
EVT_750386_OPTIONB;Never!;
EVT_750378_NAME;Caucasian nations supressed !;
EVT_750378_DESC;After a long and brutal contest in Caucasus we have finally subdued troublesome nationalities inhabiting this part of world. At least for now.....;
EVT_750378_OPTIONB;They will trouble us no longer !;
EVT_750375_NAME;Russian peasants are rioting!;
EVT_750375_DESC;A small feud over land has escalated into a major riot between Russian peasants and the nearby Cossacks. The police has arrested leaders of these anti-Cossack riots and their lands has been confiscated.;
EVT_750375_OPTIONA;They should go back to Russia where they belong!;
EVT_750371_NAME;Pyotr Krasnov Passes Away;
EVT_750371_DESC;Pyotr Krasnov, hero of the cossack people, passed away in his dacha near Grozny.;
EVT_750371_OPTIONA;Even heroes must die.;
EVT_750388_NAME;Extending Ostwall;
EVT_750388_DESC;Although our admission into Mitteleuropa has provided us with some measure of security it seems that with our awakening northern neighbour it might not be not enough. Our top military leaders propose to solve this situation via creating extensive net of fortifications along borders with Russia, which if linked with already existing Ukrainian part of Ostwall will surely stop any kind of assault.;
EVT_750388_OPTIONA;Let us extend the Ostwall!;
EVT_750388_OPTIONB;This is not needed...;
EVT_750389_NAME;Extending Ostwall;
EVT_750389_DESC;Our dilligent engineers and soldiers have completed first part of light fortification line along borders of Don-Kuban union with Russia. Shall we continue with its expansion or are such fortifications sufficient ?;
EVT_750389_OPTIONA;Further improve our defenses !;
EVT_750389_OPTIONB;This is not needed...;
EVT_750390_NAME;Extending Ostwall;
EVT_750390_DESC;Our dilligent engineers and soldiers have completed another part of light fortification line along borders of Don-Kuban union with Russia. Shall we continue with its expansion or are such fortifications sufficient ?;
EVT_750390_OPTIONA;Further improve our defenses !;
EVT_750390_OPTIONB;This is not needed...;
EVT_750391_NAME;Extending Ostwall;
EVT_750391_DESC;Our dilligent engineers and soldiers have completed another part of light fortification line along borders of Don-Kuban union with Russia. Shall we continue with its expansion or are such fortifications sufficient ?;
EVT_750391_OPTIONA;Further improve our defenses !;
EVT_750391_OPTIONB;This is not needed...;
EVT_750392_NAME;Don-Kuban section of Ostwall completed;
EVT_750392_DESC;Our dilligent engineers and soldiers have completed fortification line along borders of Don-Kuban union with Russia. With such protections in place, our independence is secured.;
EVT_750392_OPTIONA;Excellent !;
EVT_996100_NAME;Lavrentij Beria Makes His Move;
EVT_996100_DESC;Having forged close connections with international socialist politicians by subscribing to Totalism and relying on a loyal 'mafia' of sycophantic supporters, Lavrentij Beria has now finally gathered the strength to challenge Filipp Makharadze for the party's leadership. Will he succeed?;
EVT_996100_OPTIONA;Beria takes full control of the government!;
EVT_996135_NAME;The Question of Caucasian Expansion;
EVT_996135_OPTIONA;We shall create Trancaucasian socialist republic !;
EVT_996135_OPTIONB;We shall unite Caucasus while promoting Syndicalism beyond!;
EVT_996135_OPTIONC;Georgia shall lead the way to a liberated Caucasus!;
EVT_996135_OPTIOND;Bah, forget this. Totalism in one country!;
EVT_760820_NAME;Georgian Espionage;
EVT_760820_DESC;The chaotic upheavels in the Caucasus during the 1920s have meant that displaced populations are common in all three of the states.  Georgia contains large ethnic Russian, Armenian, Turkish and Azeri minorities, and Georgians are found in enclaves throughout the Caucasian states.  This situation could be used to our advantage: we have a ready supply of hostages, and I am that, with a little pressure, their relatives abroad would be willing to serve the interests of Pancaucasian socialism.;
EVT_760820_OPTIONA;Yes, but only exert pressure on Caucasians;
EVT_760820_OPTIONB;We must use this to gain influence and information wherever we can;
EVT_760820_OPTIONC;Spread peaceful propaganda through these informal familial channels;
EVT_760820_OPTIOND;We shall leave all this alone;
EVT_760821_NAME;Georgian brutality!;
EVT_760821_DESC;Our intelligence agents have uncovered disturbing information about Georgian operations in Azerbaijan: many ethnic Azeris in Georgia have been targeted by the government, so that their relatives in our country will supply them with sensitive information.  This demands a swift reaction!;
EVT_760821_OPTIONA;Watch those with relatives in Georgia, and publicise the issue for full propagandic value;
EVT_760821_OPTIONB;Keep quiet about the whole affair;
EVT_760821_OPTIONC;To threaten ethnic Azeris is a declaration of war on our whole nation!;
EVT_996147_NAME;Georgian brutality!;
EVT_996147_DESC;Our intelligence agents have uncovered disturbing information about Georgian operations in Caucasus: many ethnic Chechens, Ingush and Ossetians in Georgia have been targeted by the government, so that their relatives in our country will supply them with sensitive information.  This demands a swift reaction!;
EVT_996147_OPTIONA;Watch those with relatives in Georgia, and publicise the issue for full propagandic value;
EVT_996147_OPTIONB;Keep quiet about the whole affair;
EVT_996147_OPTIONC;To threaten Mountaineers is a declaration of war on our whole nation!;
EVT_760822_NAME;Georgian brutality!;
EVT_760822_DESC;Our intelligence agents have uncovered disturbing information about Georgian operations in Armenia: many ethnic Armenians in Georgia have been targeted by the government, so that their relatives in our country will supply them with sensitive information.  This demands a swift reaction!;
EVT_760822_OPTIONA;Watch those with relatives in Georgia, and publicise the issue for full propagandic value;
EVT_760822_OPTIONB;Keep quiet about the whole affair;
EVT_760822_OPTIONC;To threaten ethnic Armenians is a declaration of war on our whole nation!;
EVT_760823_NAME;Georgian brutality!;
EVT_760823_DESC;Our intelligence agents have uncovered disturbing information about Georgian operations in the Cossack territories: many ethnic Caucasians and Russians have been targeted by the government, so that their relatives in our country will supply them with sensitive information.  This is not such a grave situation, as no true Cossacks seem to be under threat.;
EVT_760823_OPTIONA;Watch those with relatives in Georgia, and publicise the issue for full propagandic value;
EVT_760823_OPTIONB;Keep quiet about the whole affair;
EVT_760823_OPTIONC;We shall fight to defend the interests of all our peoples!;
EVT_760824_NAME;Georgian brutality!;
EVT_760824_DESC;Our intelligence agents have uncovered disturbing information about Georgian operations in the Empire: many ethnic Turks in Georgia have been targeted by the government, so that their relatives in our country will supply them with sensitive information.  This demands a swift reaction!;
EVT_760824_OPTIONA;Watch those with relatives in Georgia, and publicise the issue for full propagandic value;
EVT_760824_OPTIONB;Keep quiet about the whole affair;
EVT_760824_OPTIONC;To threaten ethnic Turks is a declaration of war on our whole nation!;
EVT_760825_NAME;Georgian brutality!;
EVT_760825_DESC;Our intelligence agents have uncovered disturbing information about Georgian operations in Russia: many ethnic Russians in Georgia have been targeted by the government, so that their relatives in our country will supply them with sensitive information.  This demands a swift reaction!;
EVT_760825_OPTIONA;Watch those with relatives in Georgia, and publicise the issue for full propagandic value;
EVT_760825_OPTIONB;Keep quiet about the whole affair;
EVT_760825_OPTIONC;To threaten ethnic Russians is a declaration of war on our whole nation!;
EVT_760826_NAME;Caucasian Espionage!;
EVT_760826_DESC;Our intelligence agents have uncovered some interesting information: The Totalists in Tblisi have been spying on a number of bourgeois states in the region, presumably to further their own cause of Syndicalism in the Caucasus. There are a few different ways we can react to this, what shall it be? ;
EVT_760826_OPTIONA;To be honest, we have bigger issues to worry about;
EVT_760826_OPTIONB;We should aid our comrades-in-arms!;
EVT_760826_OPTIONC;We can work out an alliance with our comrades to the south!;
EVT_760827_NAME;The Soviets send us aid!;
EVT_760827_DESC;Our victorious comrades to the north have learned of our espionage work, and have sent us some information that will definitely help our efforts!;
EVT_760827_OPTIONA;We thank you, comrades!;
EVT_760828_NAME;The Soviets want an alliance!;
EVT_760828_DESC;Having defeated the old bourgeois Russian state, the Soviets learned of our espionage campaign and want to aid us by allying! There will undoubtedly need to be some debate concerning the lands of the Cossacks, but it would certainly pay off.;
EVT_760828_OPTIONA;Of course! The workers of the world must unite!;
EVT_760828_OPTIONB;We can liberate the Caucasus on our own, thanks;
EVT_760829_NAME;Succesful Operations!;
EVT_760829_DESC;Our espionage operations in the Caucasus have been a great success, and resulted in minimal complications.  We have secured much useful information and additional support and influence.  How should we use this?;
EVT_760829_OPTIONA;We shall build up our military for the liberation of the Caucasus;
EVT_760829_OPTIONB;We shall encourage immigration to build up Georgian industry;
EVT_760829_OPTIONC;Continue promoting technological development;
EVT_760830_NAME;Armenia is alone;
EVT_760830_DESC;Armenia used current problems of the Ottoman Empire to break away from its sphere of influence. This present us with an opportunity to launch unification process of the entire Caucasus region, starting with Armenia !;
EVT_760830_OPTIONA;Declare war !;
EVT_760830_OPTIONB;Covert operations will be good enough.;
EVT_760830_OPTIONC;This is too risky....;
EVT_996137_NAME;Georgian coup;
EVT_996137_DESC;Georgian agitators, together with a detachment of syndicalist emigrants, have fueled popular opinion against the current leadership of our state. Pro-syndicalist parts of our population, together with Georgians in the countryside and in the cities, have rebelled. The country is in chaos, how will the situation develop?;
EVT_996137_OPTIONA;The rebels take over the capital!;
EVT_996137_OPTIONB;The rebels have been defeated!;
EVT_996138_NAME;Armenia falls;
EVT_996138_DESC;Representatives of the newly established syndicalist government of Armenia met with our prime-minister today and announced that Armenia will join family of the Caucasian socialist republics. All of our citizens are celebrating, Georgian intelligence has achieved a new victory!;
EVT_996138_OPTIONA;Temporary occupy Armenia !;
EVT_996138_OPTIONB;Merely take control over their new government.;
EVT_996139_NAME;Georgian coup failed;
EVT_996139_DESC;Our attempt to replace the government in Armenia with one loyal to our state has failed miserably. What shall we do now?;
EVT_996139_OPTIONA;We shall crush them!;
EVT_996139_OPTIONB;Let them be.;
EVT_760831_NAME;Azerbaijan is alone;
EVT_760831_DESC;Independent state of Azerbaijan is currently without any kind of international protection. This present us with an opportunity to launch unification process of the entire Caucasus region, starting with Azerbaijan !;
EVT_760831_OPTIONA;Declare war !;
EVT_760831_OPTIONB;Covert operations will be good enough.;
EVT_760831_OPTIONC;This is too risky....;
EVT_996140_NAME;Georgian coup;
EVT_996140_DESC;Georgian agitators, together with a detachment of syndicalist emigrants, have fueled popular opinion against the current leadership of our state. Pro-syndicalist parts of our population, together with Georgians in the countryside and in the cities, have rebelled. The country is in chaos, how will the situation develop?;
EVT_996140_OPTIONA;The rebels take over the capital!;
EVT_996140_OPTIONB;The rebels have been defeated!;
EVT_996141_NAME;Azerbaijan falls;
EVT_996141_DESC;Representatives of the newly established syndicalist government of Azerbaijan met with our prime-minister today and announced that Azerbaijan will join family of the Caucasian socialist republics. All of our citizens are celebrating, Georgian intelligence has achieved a new victory!;
EVT_996141_OPTIONA;Temporary occupy Azerbaijan !;
EVT_996141_OPTIONB;Merely take control over their new government.;
EVT_996142_NAME;Georgian coup failed;
EVT_996142_DESC;Our attempt to replace the government in Azerbaijan with one loyal to our state has failed miserably. What shall we do now?;
EVT_996142_OPTIONA;We shall crush them!;
EVT_996142_OPTIONB;Let them be.;
EVT_996136_NAME;Don-Kuban Union is alone;
