#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portugese;Russian;;Extra2;X;
EE_FREE_OIL;Offmap production of Oil changed by %+.0f.;Production hors carte du pétrole changée de %+.0f.;Produzione di petrolio fuori-mappa cambiata del %+.0f.;La producción de petróleo fuera del mapa cambia en %+.0f.;Produktion von Öl außerhalb der Karte um %+.0f geändert.;Produkcja ropy poza map¹ zmieni³a siê o %+.0f.;;Offmap production of Oil changed by %+.0f.;;;x;
EE_FREE_ENERGY;Offmap production of Energy changed by %+.0f.;Production hors carte de l'énergie changée de %+.0f.;Produzione di energia fuori-mappa cambiata del %+.0f.;La producción de energía fuera del mapa cambia en %+.0f.;Produktion von Energie außerhalb der Karte um %+.0f geändert.;Produkcja energii poza map¹ zmieni³a siê o %+.0f.;;Offmap production of Energy changed by %+.0f.;;;x;
EE_FREE_MONEY;Offmap production of Money changed by %+.0f.;Production hors carte de l'argent changée de %+.0f.;Produzione di denaro fuori-mappa cambiata del %+.0f.;La producción de dinero fuera del mapa cambia en %+.0f.;Produktion von Geld außerhalb der Karte um %+.0f geändert.;Produkcja pieniêdzy poza map¹ zmieni³a siê o %+.0f.;;Offmap production of Money changed by %+.0f.;;;x;
EE_FREE_METAL;Offmap production of Metal changed by %+.0f.;Production hors carte du métal changée de %+.0f.;Produzione di metallo fuori-mappa cambiata del %+.0f.;La producción de metal fuera del mapa cambia en %+.0f.;Produktion von Metall außerhalb der Karte um %+.0f geändert.;Produkcja stali poza map¹ zmieni³a siê o %+.0f.;;Offmap production of Metal changed by %+.0f.;;;x;
EE_FREE_RAREMAT;Offmap production of Rare Materials changed by %+.0f.;Production hors carte des matières précieuses changée de %+.0f.;Produzione di materiali rari fuori-mappa cambiata del %+.0f.;La producción de materiales raros fuera del mapa cambia en %+.0f.;Produktion von seltenen Materialien außerhalb der Karte um %+.0f geändert.;Produkcja materia³ów rzadkich poza map¹ zmieni³a siê o %+.0f.;;Offmap production of Rare Materials changed by %+.0f.;;;x;
EE_N_CONVOY;Create a convoy transporting (%s) from %s to %s.;Créer un convoi transportant (%s) de %s à %s.;Crea un convoglio che trasporti (%s) da %s a %s.;Crear un convoy que transporte (%s) de %s a %s.;Einen %s Konvoi-Transport von %s nach %s erstellen.;Utwórz konwój transportuj¹cy (%s) z %s do %s.;;Create a convoy transporting (%s) from %s to %s.;;;x;
EE_CONVOY_POOL;Unassigned Transports changed by %d.;Transports disponibles changés par %d.;I mezzi di trasporto non assegnati sono cambiati di %d.;Transportes no asignados cambian en %d.;Nicht eingesetzte Transporter geändert um %d.;Nie przypisane transporty zmieni³y siê o %d.;;Unassigned Transports changed by %d.;;;x;
EE_BUILD_DIVISION;Begin %s construction.;Commencer la construction de %s.;Inizio costruzione di %s.;Iniciar construcción de %s.;Bau von %s beginnen.;Rozpocznij konstrukcjê %s.;;Begin %s construction.;;;X;
EE_BUILD_IMPROVEMENT;%s in %s: %s%d.;%s dans %s: %s%d.;%s in %s: %s%d.;%s en %s: %s%d.;%s in %s: %s%d.;%s w %s: %s%d.;;%s in %s: %s%d.;;;X;
EE_START_RESEARCH;Start researching %s.;Commencer la recherche de %s.;Avvio ricerca di %s.;Iniciar investigación de %s.;Forschungsprojekt beginnen %s.;Rozpocznij badania: %s.;;Start researching %s.;;;X;
EE_PRIO_RESEARCH;Prioritize researching %s.;Favoriser la recherche de %s.;Priorità alla ricerca di %s.;Priorizar la investigación de %s.;Forschungsprojekt priorisieren %s.;Nadaj priorytet badaniom: %s.;;Prioritize researching %s.;;;X;
EE_END_ACCESS;Cancel military access for %s.;Annuler l'accès militaire de %s.;Revoca l'accesso miliare a %s.;Cancelar acceso militar a %s.;Die militärische Durchmarschgenehmigung für %s aufheben.;Wycofaj dostêp militarny dla: %s.;;Cancel military access for %s.;;;X;
EE_LEAVE_ALLIANCE;Leave our military alliance.;Quitter notre alliance militaire.;Abbandona l'alleanza militare.;Dejar nuestra alianza militar.;Verlassen Sie unser Militärbündnis.;Wypowiedz nasz sojusz.;;Leave our military alliance.;;;X;
EE_END_PUPPET;Break our 'puppet' status.;Briser notre statut de régime fantoche.;Combatti il regime fantoccio.;Acabar con nuestra condición de 'títeres'.;Wir betrachten uns nicht länger als Marionettenstaat.;Wy³am siê spod statusu pañstwa satelickiego.;;Break our 'puppet' status.;;;X;
EE_END_MASTERY;End our 'puppet mastery' over %s.;Mettre fin à notre gouvernement fantoche en %s.;Rimuovi il regime fantoccio su: %s.;Dejar de ser los amos del títere de %s.;Wir betrachten %s nicht länger als Marionettenstaat.;Zakoñcz nasz¹ kontrolê nad: %s.;;End our 'puppet mastery' over %s.;;;X;
EE_GUARANTEE;%s guarantees the independence of %s.;%s garantit l'indépendance de %s.;%s garantisce l'indipendenza di %s.;%s garantiza la independencia de %s.;%s garantiert die Unabhängigkeit von %s.;%s jest gwarantem niepodleg³oœci %s.;;%s guarantees the independence of %s.;;;X;
EE_END_GUARANTEE;%s ceases guaranteeing the independence of %s.;%s cesse de garantir l'indépendance de %s.;%s non garantisce più l'indipendenza di %s.;%s deja de garantizar la independencia de %s.;%s garantiert nicht mehr die Unabhängigkeit von%s.;%s nie jest ju¿ gwarantem niepodleg³oœci %s.;;%s ceases guaranteeing the independence of %s.;;;X;
EE_ALLOW_CONVOY_ESCORTS;We may now build convoy escorts.;Possibilité de construire des bâtiments d'escorte de convois.;Possiamo costruire le scorte del convoglio.;Ahora podemos construir escoltas de convoy.;Wir könnten jetzt Konvoi-Eskorten bauen.;Mo¿emy ju¿ budowaæ eskorty konwojów.;;We may now build convoy escorts.;;;X;
EE_TRANSPORT_POOL;%s receives %d convoy transports.;%s reçoit %d transports de convoi.;%s riceve %d mezzi di trasporto del convoglio.;%s recibe %d transportes de convoy.;%s erhält %d Konvoi-Transporter.;%s otrzymuje %d transportowców dla konwojów.;;%s receives %d convoy transports.;;;X;
EE_ESCORT_POOL;%s receives %d convoy escorts.;%s reçoit %d bâtiments d'escorte de convoi.;%s riceve %d scorte del convoglio.;%s recibe %d escoltas de convoy.;%s erhält %d Konvoi-Eskorten.;%s otrzymuje %d statków eskorty dla konwojów.;;%s receives %d convoy escorts.;;;X;
EE_PEACETIME_IC_MOD;Peacetime IC modifier changed by %s%.1f\%%.;Modificateur PP en temps de paix changé par %s%.1f\%%.;Il modificatore della PI in tempo di pace è cambiato di %s%.1f\%%.;El modificador a la CI por tiempos de paz cambia en %s%.1f\%%.;Friedenszeit IK-Modifikator geändert von %s%.1f\%%.;Pokojowy modyfikator PP zmienia siê o %s%.1f\%%.;;Peacetime IC modifier changed by %s%.1f\%%.;;;X;
EE_NON_AGGRESSION;%s enters a non-aggression pact with %s.;%s conclut un pacte de non-agression avec %s.;%s stipula un patto di non belligeranza con %s.;%s entra en un pacto de no agresión con %s.;%s geht einen Nichtangriffspakt mit %s ein.;%s wchodzi w pakt o nieagresji z %s.;;%s enters a non-aggression pact with %s.;;;X;
EE_END_NON_AGGRESSION;%s ends its non-aggression pact with %s.;%s rompt son pacte de non-agression avec %s.;%s termina il patto di non belligeranza con %s.;%s finaliza su pacto de no agresión con %s.;%s beendet seinen Nichtangriffspakt mit %s.;%s zrywa pakt o nieagresji z %s.;;%s ends its non-aggression pact with %s.;;;X;
EE_END_TRADES;All trade agreements between %s and %s are cancelled.;Tous les accords d'échanges commerciaux entre %s et %s sont annulés.;Tutti gli accordi commerciali tra %s e %s sono stati annullati.;Todos los tratados comerciales entre %s y %s están cancelados.;Alle Handelsverträge zwischen %s und %s sind annulliert.;Wszystkie umowy handlowe pomiêdzy %s i %s zostaj¹ anulowane.;;All trade agreements between %s and %s are cancelled.;;;X;
EE_TRADE;New trade agreement initiated between %s (A) and %s (B):;Nouvel accord commercial proposé entre %s (A) et %s (B):;Nuovo accordo commerciale tra %s (A) e %s (B):;Iniciado un nuevo tratado comercial entre %s (A) y %s (B):;Neue Handelsverträge zwischen %s (A) und %s (B) eingeleitet:;Nowa umowa handlowe zawarta pomiêdzy %s (A) i %s (B):;;New trade agreement initiated between %s (A) and %s (B):;;;X;
EE_TRADE_RESOURCE_POS;%.1f %s from A to B.;%.1f %s de A à B.;%.1f %s da A a B.;%.1f %s de A a B.;%.1f %s von A nach B.;%.1f %s z A do B.;;%.1f %s from A to B.;;;X;
EE_TRADE_RESOURCE_NEG;%.1f %s from B to A.;%.1f %s de B à A.;%.1f %s da B a A.;%.1f %s de B a A.;%.1f %s von B nach A.;%.1f %s z B do A.;;%.1f %s from B to A.;;;X;
EE_SET_LEADER_LOY;The leader %s gets his loyalty modified by %d.;Le commandant %s voit sa loyauté modifiée de %d.;La lealtà del leader %s è stata modificata di %d.;La lealtad del líder %s cambia en %d.;Die Loyalität des Anführers %s wird modifiziert mit %d.;Przywódca %s ma lojalnoœæ zmodyfikowan¹ o %d.;;The leader %s gets his loyalty modified by %d.;;;X;
EE_SET_MINISTER_LOY;The minister %s gets his loyalty modified by %d.;Le ministre %s voit sa loyauté modifiée de %d.;La lealtà del ministro %s è stata modificata di %d.;La lealtad del ministro %s cambia en %d.;Die Loyalität des Ministers %s wird modifiziert mit %d.;Minister %s ma lojalnoœæ zmodyfikowan¹ o %d.;;The minister %s gets his loyalty modified by %d.;;;X;
EE_DELETE_UNIT;Unit %s is destroyed.;L'unité %s a été détruite.;L'unità %s è stata distrutta.;Unidad %s destruida.;Einheit %s wurde vernichtet.;Jednostka %s jest zniszczona.;;Unit %s is destroyed.;;;X;
EE_MINISTER;%s can now become a minister.;%s peut désormais être nommé ministre.;%s può diventare ministro.;%s ahora puede convertirse en ministro.;%s kann jetzt Minister werden.;%s mo¿e ju¿ zostaæ ministrem.;;%s can now become a minister.;;;X;
EE_HOS;Head of State: %s.;Chef de l'Etat : %s.;Capo di Stato: %s.;Jefe de Estado: %s.;Staatschef: %s.;G³owa pañstwa: %s.;;Head of State: %s.;;;X;
EE_HOG;Head of Government: %s.;Chef du Gouvernement : %s.;Capo del Governo: %s;Jefe de Gobierno: %s.;Regierungschef: %s.;Szef rz¹du: %s.;;Head of Government: %s.;;;X;
EE_FGNMIN;Foreign Minister: %s.;Ministre des Affaires Etrangères : %s.;Ministro degli Esteri: %s;Ministro Exteriores: %s.;Außenminister: %s.;Minister spraw zagranicznych: %s.;;Foreign Minister: %s.;;;X;
EE_ARMMIN;Armament Minister: %s.;Ministre de l'Armement : %s.;Ministro della Difesa: %s;Ministro Defensa: %s.;Verteidigungsminister: %s.;Minister zbrojeñ: %s.;;Armament Minister: %s.;;;X;
EE_SECMIN;Minister of Security: %s.;Ministre de la Sécurité : %s.;Ministro della Sicurezza: %s;Ministro Seguridad: %s.;Sicherheitsminister: %s.;Minister bezpieczeñstwa: %s;;Minister of Security: %s.;;;X;
EE_INTMIN;Minister of Intelligence: %s;Ministre du Renseignement : %s;Ministro dei Servizi segreti: %s;Jefe Inteligencia Militar: %s;Geheimdienstminister: %s;Szef wywiadu wojskowego: %s;;Minister of Intelligence: %s;;;X;
EE_STAFF;Chief of Staff: %s.;Chef d'Etat-major : %s.;Capo di Stato Maggiore: %s.;Jefe Estado Mayor: %s.;Generalstabschef: %s.;Szef sztabu: %s.;;Chief of Staff: %s.;;;X;
EE_CARMY;Chief of Army: %s.;Chef de l'Armée de terre : %s.;Capo dell'Esercito: %s;Jefe Ejército: %s.;Chef der Armee: %s.;Dowódca wojsk l¹dowych: %s.;;Chief of Army: %s.;;;X;
EE_CNAVY;Chief of Navy: %s.;Chef de la Marine : %s.;Capo della Marina: %s;Jefe Marina: %s.;Chef der Marine: %s.;Dowódca marynarki: %s.;;Chief of Navy: %s.;;;X;
EE_CAIR;Chief of Air: %s;Chef de l'Armée de l'air : %s.;Capo dell'Aeronautica: %s;Jefe F. Aéreas: %s;Chef der Luftwaffe: %s;Dowódca si³ powietrznych: %s.;;Chief of Air: %s;;;X;
EE_DESERTIONS;Lose %d men in %s.;%d hommes perdus (%s).;Hai perso %d uomini in %s;%d hombres perdidos en %s.;%d Männer in %s verlieren.;Utrata %d ludzi w %s.;;Lose %d men in %s.;;;X;
EVENT_SELECTION;%s : We went with %s in %s.;%s : Nous avons choisi %s lors de l'événement historique %s.;%s: Abbiamo scelto %s in seguito all'evento: %s.;%s: Hemos tomado una decisión (%s) en %s.;%s : Wir gingen mit %s in %s.;%s: Zareagowaliœmy: %s na wydarzenie: %s.;;%s : We went with %s in %s.;;;X;
EVENT_SIMPLE;%s : %s happened to us.;%s : l'événement historique %s vient d'avoir lieu!;%s: Si è verificato il seguente evento: %s.;%s: Nos ha sucedido lo siguiente: %s;%s : %s ist uns passiert.;%s: Nast¹pi³o wydarzenie: %s.;;%s : %s happened to us.;;;X;
EE_P_CUL;Culture in %s changed to %s;La culture de %s est passée à %s;La cultura in %s è cambiata in %s.;La cultura de %s ha cambiado a la de %s.;Kultur in %s änderte sich zu %s;Poziom kultury w %s zmieniony na %s;;Culture in %s changed to %s;;;X;
EE_P_TAX;Basic Taxvalue in %s:  %s%d;Valeur de l'impôt de base à %s: %s%d;Tasse di base in %s: %s%d.;Valor bás. impuestos %s: %s%d;Einfacher Steuerwert in %s:  %s%d;Podstawowy podatek w %s: %s%d;;Basic Taxvalue in %s:  %s%d;;;X;
EE_P_MAN;Manpower in %s: %s%d;Main d'oeuvre à %s : %s%d;Forza lavoro in %s: %s%d.;Rec. hum. %s: %s%d;Wehrfähige in %s: %s%d;Si³a robocza w %s: %s%d;;Manpower in %s: %s%d;;;X;
EE_P_MINE;Mine in %s: %s%d;Mine à %s : %s%d;Miniera in %s: %s%d.;Mina de %s: %s%d;Mine in %s: %s%d;Wydobycie w %s: %s%d;;Mine in %s: %s%d;;;X;
EE_NATIVE;Native Agressivenes in %s set to level %d;Agression des autochtones de %s mise à niveau %d;L'aggressività della popolazione in %s è di livello %d.;La agresividad de nativos de %s pasa a nivel %d;Aggressivität der Einheimischen in %s steht bei %d;Rodzima agresywnoœæ w %s ustawiona na poziom %d.;;Native Agressivenes in %s set to level %d;;;X;
EE_FORT;Fortress in %s: %s%d;Forteresse à %s: %s%d;Fortezza in %s: %s%d.;Fortif. en %s: %s%d;Befestigung in %s: %s%d;Forteca w %s: %s%d;;Fortress in %s: %s%d;;;X;
EE_POP;Population in %s: %s%d;Population de %s: %s%d;Popolazione in %s: %s%d.;Población de %s: %s%d;Bevölkerung in %s: %s%d;Populacja w %s: %s%d;;Population in %s: %s%d;;;X;
EE_N_REVOLT;Revolt in %s.;Révolte à %s.;Rivolta a %s;Revuelta en %s.;Rebellion in %s.;Rewolucja w %s.;;Revolt in %s.;;;X;
EE_R_REVOLT;Revolt in %s.;Révolte à %s.;Rivolta a %s;Revuelta en %s.;Rebellion in %s.;Rewolucja w %s.;;Revolt in %s.;;;X;
EE_C_REVOLT;Revolt in %s.;Révolte à %s.;Rivolta a %s;Revuelta en %s.;Rebellion in %s.;Rewolucja w %s.;;Revolt in %s.;;;X;
EE_HERETICS;Heresy in %s;Hérésie à %s;Eresia in %s.;Herejes en %s;Ketzerei in %s;Herezja w %s.;;Heresy in %s;;;X;
EE_CONVERTED;%s converts to the state religion.;%s se convertit à la religion officielle.;%s si converte alla religione di Stato.;%s se convierte a la religión oficial.;%s konvertiert zur Staatsreligion.;%s przechodzi na religiê pañstwow¹.;;%s converts to the state religion.;;;X;
EE_P_RR;Revoltrisk in %s:  %s%d;Risque de révolte à %s: %s%d;Pericolo di rivolta a %s: %s%d;Riesgo levant. %s: %s%d;Rebellionsrisiko in %s: %s%d;Zagro¿enie rewolucj¹ w %s: %s%d;;Revoltrisk in %s:  %s%d;;;X;
EE_P_REL;%s converts to %s.;%s se convertit à %s.;%s si converte al %s.;%s se convierte a %s.;%s konvertiert zu %s.;%s przechodzi na %s.;;%s converts to %s.;;;X;
EE_P_ADM;Monarchs administrative skill changed by %d for the next %d months.;Compétences administratives des monarques changées par %d pour les %d prochains mois.;L'abilità amministrativa del monarca cambia di %d per i prossimi %d mesi.;Habilidad de gestión de los monarcas cambia en %d en los %d meses siguientes.;Die Verwaltungsfähigkeiten des Monarchen werden um %d für die nächsten %d Monate verändert.;Zdolnoœci administracyjne panuj¹cego zmienione o %d na czas %d miesiêcy.;;Monarchs administrative skill changed by %d for the next %d months.;;;X;
EE_P_DIP;Monarchs diplomatic skill changed by %d for the next %d months.;Compétences diplomatiques des monarques changées par %d pour les %d prochains mois.;L'abilità diplomatica del monarca cambia di %d per i prossimi %d mesi.;Habilidad diplomática de los monarcas cambia en %d en los %d meses siguientes.;Die diplomatischen Fähigkeiten des Monarchen werden um %d für die nächsten %d Monate verändert.;Zdolnoœci dyplomatyczne panuj¹cego zmienione o %d na czas %d miesiêcy.;;Monarchs diplomatic skill changed by %d for the next %d months.;;;X;
EE_P_MIL;Monarchs military skil change by %d for the next %d months.;Compétences militaires des monarques changées par%d pour les %d prochains mois.;L'abilità militare del monarca cambia di %d per i prossimi %d mesi.;Habilidad militar de los monarcas cambia en %d en los %d meses siguientes.;Die militärischen Fähigkeiten des Monarchen werden um %d für die nächsten %d Monate verändert.;Zdolnoœci militarne panuj¹cego zmienione o %d na czas %d miesiêcy.;;Monarchs military skil change by %d for the next %d months.;;;X;
EE_S_REL;State religion changed to %s.;La religion officielle est passée à %s.;La religione di Stato è cambiata in %s.;Religión oficial ha cambiado a %s.;Staatsreligion geändert zu %s.;Religia pañstwowa zmieniona na %s.;;State religion changed to %s.;;;X;
EE_RRISK;Revoltrisk changed by %s%d for the next %d months.;Risque de révolte changé par %s%d pour les %d prochains mois.;Il pericolo di rivolta cambia di %s%d per i prossimi %d mesi.;Riesgo levant. cambia en %s%d en los %d meses siguientes.;Rebellionsrisiko um %s%d für die nächsten %d Monate geändert.;Zagro¿enie rewolucj¹ zmienione o %s%d na czas %d miesiêcy.;;Revoltrisk changed by %s%d for the next %d months.;;;X;
EE_INFLATION;Inflation: %s%d;Inflation : %s%d;Inflazione: %s%d.;Inflación: %s%d;Inflation: %s%d;Inflacja: %s%d;;Inflation: %s%d;;;X;
EE_BROY;Royal Marriage with %s broken.;Rupture du mariage royal avec %s.;Il matrimonio regale con %s è infranto.;Se ha roto matrim. real con %s.;Königliche Heirat mit %s gescheitert.;Anulowano królewskie ma³¿eñstwo z: %s;;Royal Marriage with %s broken.;;;X;
EE_BVAS;Vassalisation with %s broken.;Rupture du statut de vassalité avec %s.;Il vassallaggio con %s è infranto.;Se ha roto pacto vasall. con %s.;Vasallisierung mit %s aufgehoben.;Anulowano wasalizacjê z: %s;;Vassalisation with %s broken.;;;X;
EE_ROY;Gain a Royal Marriage with %s.;Conclure un mariage royal avec %s.;Ottieni un matrimonio regale con %s.;Obtener matrimonio real con %s.;Königliche Heirat mit %s erlangen.;Zawarto królewskie ma³¿eñstwo z: %s;;Gain a Royal Marriage with %s.;;;X;
EE_VAS;Gain %s as vassals.;Prendre %s comme vassaux.;Guadagni %s come vassalli.;Obtener a %s como vasallos.;%s als Vasallen bekommen.;%s jest wasalem.;;Gain %s as vassals.;;;X;
EE_ALL;Alliance with %s.;Alliance avec %s.;Alleanza con %s;Alianza con %s.;Bündnis mit %s.;Sojusz z %s.;;Alliance with %s.;;;X;
EE_INHERIT;Inherit the realms of %s.;Annexe %s.;Annetti i regni di %s.;Heredar los reinos de %s.;Reich von %s erben.;Dokonaj aneksji pañstwa: %s.;;Inherit the realms of %s.;;;X;
EE_CASH;%s%d$;%s%d$;%s%d$;%s%d $;%s%d$;%s%d$;;%s%d$;;;X;
EE_MANPOWER;Manpower: %s%d;Main d'oeuvre : %s%d;Forza lavoro: %s%d.;Recursos humanos: %s%d;Wehrfähige: %s%d;Zasoby ludzkie:: %s%d;;Manpower: %s%d;;;X;
EE_RELATIVE_MANPOWER;Immediate Manpower change by %s%d\%% of total population.;Modification immédiate de la main-d'œuvre par %s%d\%% de population totale.;Modifica immediata della manodopera di %s%d\%% della popolazione totale.;Los rec. hum. inmediatos cambian en un %s%d\%% de la población total.;Wehrfähigen-Anzahl verändert um %s%d\%% der Gesamtmenge.;Natychmiastowa zmiana zasobów ludzkich o %s%d\%% ca³kowitej populacji.;;Immediate Manpower change by %s%d\%% of total population.;;;x;
EE_LANDTECH;Land Investment: %s%d;Investissement terrien : %s%d;Investimento terrestre: %s%d.;Inversión terr.: %s%d;Landinvestition: %s%d;Inwestycje l¹dowe: %s%d;;Land Investment: %s%d;;;X;
EE_NAVALTECH;Naval Investment: %s%d;Investissement naval : %s%d;Investimento navale: %s%d.;Inversión naval: %s%d;Marine-Investition: %s%d;Inwestycje we flotê: %s%d;;Naval Investment: %s%d;;;X;
EE_INFRATECH;Infra Investment: %s%d;Investissement infra : %s%d;Investimento infrastrutture: %s%d.;Inversión infraes.: %s%d;Infra-Investition: %s%d;Inwestycje w infra.: %s%d;;Infra Investment: %s%d;;;X;
EE_TRADETECH;Trade Investment: %s%d;Investissement commercial : %s%d;Investimento commercio: %s%d.;Inversión comercio: %s%d;Handelsinvestition: %s%d;Inwestycje handlowe: %s%d;;Trade Investment: %s%d;;;X;
EE_STABILITY;Stability: %s%d;Stabilité : %s%d;Stabilità: %s%d.;Estabilidad: %s%d;Stabilität: %s%d;Stabilnoœæ: %s%d;;Stability: %s%d;;;X;
EE_DIPLOMAT;Diplomats: %s%d;Diplomates : %s%d;Diplomatici: %s%d.;Diplomáticos: %s%d;Diplomaten: %s%d;Dyplomaci: %s%d;;Diplomats: %s%d;;;X;
EE_COLONIST;Colonists: %s%d;Colonialistes : %s%d;Coloni: %s%d.;Colonos: %s%d;Kolonisten: %s%d;Kolonizatorzy: %s%d;;Colonists: %s%d;;;X;
EE_MERCHANT;Merchants: %s%d;Marchands : %s%d;Mercanti: %s%d.;Comerciantes: %s%d;Händler: %s%d;Handlowcy: %s%d;;Merchants: %s%d;;;X;
EE_MISSIONARY;Missionaries: %s%d;Missionnaires : %s%d;Missionari: %s%d.;Misioneros: %s%d;Missionare: %s%d;Misjonarze: %s%d;;Missionaries: %s%d;;;X;
EE_CONQUISTADOR;Gain conquistador in %s.;Obtenir un conquistador à %s.;Ottieni un conquistatore in %s.;Obtener conquist. en %s.;Konquistador in %s erhalten.;Pozyskaj konkwistadora w %s.;;Gain conquistador in %s.;;;X;
EE_EXPLORER;Gain explorer in %s.;Obtenir un explorateur à %s.;Ottieni un esploratore in %s.;Obtener explor. en %s.;Erforscher in %s erhalten.;Pozyskaj odkrywcê w %s.;;Gain explorer in %s.;;;X;
EE_LEADER;Gain the service of %s.;Obtenir des services de %s.;Ottieni i servizi di %s.;Obtener servicio de %s.;Dienste von %s erhalten.;Pozyskaj us³ugi %s.;;Gain the service of %s.;;;X;
EE_MONARCH;Make %s the leader of your country.;Faire de %s le leader de votre pays.;Eleggi %s Capo della nazione.;Hacer que %s sea líder de nuestro país.;%s zu Ihrem Staatsoberhaupt machen;Mianuj %s przywódc¹ swojego pañstwa.;;Make %s the leader of your country.;;;X;
EE_SLEADER;The military leader %s will no longer be available.;Le leader militaire %s n'est plus en fonction.;Il comandante militare %s non è più disponibile.;El líder militar %s ya no estará disponible.;Der militärische Anführer %s ist nicht mehr verfügbar.;Przywódca wojskowy %s nie bêdzie ju¿ dostêpny.;;The military leader %s will no longer be available.;;;X;
EE_SMONARCH;Make %s forgotten!;Faire oublier %s!;Fa' in modo che %s venga dimenticato!;¡Hacer que se olvide a %s!;%s in Vergessenheit bringen!;Spraw, ¿e %s zostanie zapomniany!;;Make %s forgotten!;;;X;
EE_TAG;Found the realms of %s;Le royaume de %s a été trouvé;Scopri i regni di %s.;Fundar los reinos de %s.;Bereich von %s gefunden;Odkry³eœ tereny %s;;Found the realms of %s;;;X;
EE_RELATION;Relation with %s: %s%d;Relations avec %s : %s%d;Relazione diplomatica con %s: %s%d.;Relación con %s: %s%d;Beziehung zu %s: %s%d;Stosunki z: %s: %s%d;;Relation with %s: %s%d;;;X;
EE_GAIN_MANU;Gain manufactory in %s;Obtenir une fabrique à %s;Ottieni una fabbrica in %s.;Obtener manufac. en %s.;Fabrik in %s erhalten;Pozyskaj manufakturê w %s;;Gain manufactory in %s;;;X;
