##;ENG;FRA;ITA;SPA;GER;POL;;RUS;;;X
PROV0;(Embarked);(Embarked);(Embarked);(Embarcado/s);(Embarked);(Embarked);;(Embarked);;;x
PROV20;Exeter;Exeter;Exeter;Exeter;Exeter;Exeter;;Эксетер;;;X
PROV21;Caernarfon;Caernarfon;Caernarfon;Caernarfon;Caernarfon;Caernarfon;;Карнарвон;;;X
PROV22;Cardiff;Cardiff;Cardiff;Cardiff;Cardiff;Cardiff;;Кардифф;;;X
PROV23;Plymouth;Plymouth;Plymouth;Plymouth;Plymouth;Plymouth;;Плимут;;;X
PROV24;Birmingham;Birmingham;Birmingham;Birmingham;Birmingham;Birmingham;;Бирмингем;;;X
PROV25;Norwich;Norwich;Norwich;Norwich;Norwich;Norwich;;Норвич ;;;X
PROV26;Dover;Dover;Dover;Dover;Dover;Dover;;Дувр;;;X
PROV27;Portsmouth;Portsmouth;Portsmouth;Portsmouth;Portsmouth;Portsmouth;;Портсмут;;;X
PROV28;Oxford;Oxford;Oxford;Oxford;Oxford;Oxford;;Оксфорд;;;X
PROV29;London;London;London;London;London;London;;Лондон;;;X
PROV30;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;;Уэксфорде;;;X
PROV31;Cork;Cork;Cork;Cork;Cork;Cork;;Корк;;;X
PROV32;Galway;Galway;Galway;Galway;Galway;Galway;;Голуэй;;;X
PROV33;Leifear;Leifear;Leifear;Leifear;Leifear;Leifear;;Лиффорд;;;X
PROV34;Dublin;Dublin;Dublin;Dublin;Dublin;Dublin;;Дублин;;;X
PROV35;Londonderry;Londonderry;Londonderry;Londonderry;Londonderry;Londonderry;;Лондондерри;;;X
PROV36;Belfast;Belfast;Belfast;Belfast;Belfast;Belfast;;Белфаст;;;X
PROV37;Brest;Brest;Brest;Brest;Brest;Brest;;Брест;;;X
PROV38;Rennes;Rennes;Rennes;Rennes;Rennes;Rennes;;Ренн;;;X
PROV39;Lorient;Lorient;Lorient;Lorient;Lorient;Lorient;;Лорьян;;;X
PROV40;Saint-Nazaire;Saint-Nazaire;Saint-Nazaire;Saint-Nazaire;Saint-Nazaire;Saint-Nazaire;;Сен-Назер;;;X
PROV41;Saint-Brieuc;Saint-Brieuc;Saint-Brieuc;Saint-Brieuc;Saint-Brieuc;Saint-Brieuc;;Сен-Брие;;;X
PROV42;Avranches;Avranches;Avranches;Avranches;Avranches;Avranches;;Авранш;;;X
PROV43;Cherbourg;Cherbourg;Cherbourg;Cherbourg;Cherbourg;Cherbourg;;Шербур;;;X
PROV44;Caen;Caen;Caen;Caen;Caen;Caen;;Кан;;;X
PROV45;Le Havre;Le Havre;Le Havre;Le Havre;Le Havre;Le Havre;;Гавр;;;X
PROV46;Bayeux;Bayeux;Bayeux;Bayeux;Bayeux;Bayeux;;Байе;;;X
PROV47;Falaise;Falaise;Falaise;Falaise;Falaise;Falaise;;Фалез;;;X
PROV48;Evreux;Evreux;Evreux;Evreux;Evreux;Evreux;;Эвре;;;X
PROV49;Calais;Calais;Calais;Calais;Calais;Calais;;Кале;;;X
PROV50;Amiens;Amiens;Amiens;Amiens;Amiens;Amiens;;Амьен;;;X
PROV51;Dunkirk;Dunkirk;Dunkirk;Dunkirk;Dunkirk;Dunkirk;;Дюнкерк;;;X
PROV52;Lille;Lille;Lille;Lille;Lille;Lille;;Лилль;;;X
PROV53;Dieppe;Dieppe;Dieppe;Dieppe;Dieppe;Dieppe;;Дьеп;;;X
PROV54;Troyes;Troyes;Troyes;Troyes;Troyes;Troyes;;Труа;;;X
PROV55;Paris;Paris;Paris;Paris;Paris;Paris;;Париж;;;X
PROV56;Chateau Thierry;Chateau Thierry;Chateau Thierry;Chateau Thierry;Chateau Thierry;Chateau Thierry;;Шато-Тьерри;;;X
PROV57;Nantes;Nantes;Nantes;Nantes;Nantes;Nantes;;Нант;;;X
PROV58;Le Mans;Le Mans;Le Mans;Le Mans;Le Mans;Le Mans;;Ле-Ман;;;X
PROV59;Angers;Angers;Angers;Angers;Angers;Angers;;Анжер;;;X
PROV60;Chartres;Chartres;Chartres;Chartres;Chartres;Chartres;;Шартр;;;X
PROV61;Tours;Tours;Tours;Tours;Tours;Tours;;Тур;;;X
PROV62;Poitiers;Poitiers;Poitiers;Poitiers;Poitiers;Poitiers;;Пуатье;;;X
PROV63;Auxerre;Auxerre;Auxerre;Auxerre;Auxerre;Auxerre;;Осер;;;X
PROV64;Le Creusot;Le Creusot;Le Creusot;Le Creusot;Le Creusot;Le Creusot;;Ле-Крезо;;;X
PROV65;Bourges;Bourges;Bourges;Bourges;Bourges;Bourges;;Бурж;;;X
PROV66;Orleans;Orleans;Orleans;Orleans;Orleans;Orleans;;Орлеан;;;X
PROV67;Mont-de-Marsan;Mont-de-Marsan;Mont-de-Marsan;Mont-de-Marsan;Mont-de-Marsan;Mont-de-Marsan;;Мон-де-Марсан;;;X
PROV68;Bordeaux;Bordeaux;Bordeaux;Bordeaux;Bordeaux;Bordeaux;;Бордо;;;X
PROV69;La Rochelle;La Rochelle;La Rochelle;La Rochelle;La Rochelle;La Rochelle;;Ла-Рошель;;;X
PROV70;Angouleme;Angouleme;Angouleme;Angouleme;Angouleme;Angouleme;;Ангулем;;;X
PROV71;Clermont-Ferrand;Clermont-Ferrand;Clermont-Ferrand;Clermont-Ferrand;Clermont-Ferrand;Clermont-Ferrand;;Клермон-Ферран;;;X
PROV72;Chateauroux;Chateauroux;Chateauroux;Chateauroux;Chateauroux;Chateauroux;;Шатору;;;X
PROV73;Limoges;Limoges;Limoges;Limoges;Limoges;Limoges;;Лимож;;;X
PROV74;Vichy;Vichy;Vichy;Vichy;Vichy;Vichy;;Виши;;;X
PROV75;Perigueux;Perigueux;Perigueux;Perigueux;Perigueux;Perigueux;;Периге;;;X
PROV76;Tulle;Tulle;Tulle;Tulle;Tulle;Tulle;;Тюль;;;X
PROV77;Toulouse;Toulouse;Toulouse;Toulouse;Toulouse;Toulouse;;Тулуза;;;X
PROV78;Saint-Etienne;Saint-Etienne;Saint-Etienne;Saint-Etienne;Saint-Etienne;Saint-Etienne;;Сент-Этьен;;;X
PROV79;Beziers;Beziers;Beziers;Beziers;Beziers;Beziers;;Безье;;;X
PROV80;Perpignan;Perpignan;Perpignan;Perpignan;Perpignan;Perpignan;;Перпиньян;;;X
PROV81;Rodez;Rodez;Rodez;Rodez;Rodez;Rodez;;Родез;;;X
PROV82;Montpellier;Montpellier;Montpellier;Montpellier;Montpellier;Montpellier;;Монпелье;;;X
PROV83;Pau;Pau;Pau;Pau;Pau;Pau;;По;;;X
PROV84;Agen;Agen;Agen;Agen;Agen;Agen;;Ажен;;;X
PROV85;Lyon;Lyon;Lyon;Lyon;Lyon;Lyon;;Лион;;;X
PROV86;Toulon;Toulon;Toulon;Toulon;Toulon;Toulon;;Тулон;;;X
PROV87;Nice;Nice;Nice;Nice;Nice;Nice;;Ницца;;;X
PROV88;Bourg-en-Bresse;Bourg-en-Bresse;Bourg-en-Bresse;Bourg-en-Bresse;Bourg-en-Bresse;Bourg-en-Bresse;;Бурк-АН-Брес;;;X
PROV89;Marseille;Marseille;Marseille;Marseille;Marseille;Marseille;;Марсель;;;X
PROV90;Grenoble;Grenoble;Grenoble;Grenoble;Grenoble;Grenoble;;Гренобль;;;X
PROV91;Chambery;Chambery;Chambery;Chambery;Chambery;Chambery;;Шамбери;;;X
PROV92;Valence;Valence;Valence;Valence;Valence;Valence;;Валенсия;;;X
PROV93;Avignon;Avignon;Avignon;Avignon;Avignon;Avignon;;Авиньон;;;X
PROV94;Corsica;Corsica;Corsica;Corsica;Corsica;Corsica;;Корсика;;;X
PROV95;Chaumont;Chaumont;Chaumont;Chaumont;Chaumont;Chaumont;;Шомон;;;X
PROV96;Longwy;Longwy;Longwy;Longwy;Longwy;Longwy;;Лонги;;;X
PROV97;Belfort;Belfort;Belfort;Belfort;Belfort;Belfort;;Белфорт;;;X
PROV98;Pontarlier;Pontarlier;Pontarlier;Pontarlier;Pontarlier;Pontarlier;;Понтарлье;;;X
PROV99;Reims;Reims;Reims;Reims;Reims;Reims;;Реймс;;;X
PROV100;Verdun;Verdun;Verdun;Verdun;Verdun;Verdun;;Верден;;;X
PROV101;Laon;Laon;Laon;Laon;Laon;Laon;;Лан;;;X
PROV102;Sedan;Sedan;Sedan;Sedan;Sedan;Sedan;;Седан;;;X
PROV103;Hirson;Hirson;Hirson;Hirson;Hirson;Hirson;;Херсон;;;X
PROV104;Metz;Metz;Metz;Metz;Metz;Metz;;Мец;;;X
PROV105;Colmar;Colmar;Colmar;Colmar;Colmar;Colmar;;Кольмар;;;X
PROV106;Nancy;Nancy;Nancy;Nancy;Nancy;Nancy;;Нанси;;;X
PROV107;Strasbourg;Strasbourg;Strasbourg;Strasbourg;Strasbourg;Strasbourg;;Страсбург;;;X
PROV108;Liege;Liege;Liege;Liege;Liege;Liege;;Льеж;;;X
PROV109;Luxembourg;Luxembourg;Luxembourg;Luxembourg;Luxembourg;Luxembourg;;Люксембург ;;;X
PROV110;Eupen;Eupen;Eupen;Eupen;Eupen;Eupen;;Эйпен;;;X
PROV111;Arlon;Arlon;Arlon;Arlon;Arlon;Arlon;;Арлон;;;X
PROV112;Mons;Mons;Mons;Mons;Mons;Mons;;Монс;;;X
PROV113;Namur;Namur;Namur;Namur;Namur;Namur;;Намюр;;;X
PROV114;Bruges;Bruges;Bruges;Bruges;Bruges;Bruges;;Брюгге;;;X
PROV115;Antwerpen;Antwerpen;Antwerpen;Antwerpen;Antwerpen;Antwerpen;;Антверпен;;;X
PROV116;Brussels;Brussels;Brussels;Brussels;Brussels;Brussels;;Брюссель;;;X
PROV117;Hasselt;Hasselt;Hasselt;Hasselt;Hasselt;Hasselt;;Хасселт;;;X
PROV118;Eindhoven;Eindhoven;Eindhoven;Eindhoven;Eindhoven;Eindhoven;;Эйндховен;;;X
PROV119;Arnhem;Arnhem;Arnhem;Arnhem;Arnhem;Arnhem;;Арнем;;;X
PROV120;Nijmegen;Nijmegen;Nijmegen;Nijmegen;Nijmegen;Nijmegen;;Неймеген;;;X
PROV121;Maastricht;Maastricht;Maastricht;Maastricht;Maastricht;Maastricht;;Маастрихт;;;X
PROV122;Amsterdam;Amsterdam;Amsterdam;Amsterdam;Amsterdam;Amsterdam;;Амстердам;;;X
PROV123;Middelburg;Middelburg;Middelburg;Middelburg;Middelburg;Middelburg;;Мидделбург;;;X
PROV124;Groningen;Groningen;Groningen;Groningen;Groningen;Groningen;;Гронинген;;;X
PROV125;Rotterdam;Rotterdam;Rotterdam;Rotterdam;Rotterdam;Rotterdam;;Роттердам;;;X
PROV126;Aachen;Aachen;Aachen;Aachen;Aachen;Aachen;;Аахен;;;X
PROV127;Saarbrucken;Saarbrucken;Saarbrucken;Saarbrucken;Saarbrucken;Saarbrucken;;Саарбрюккен;;;X
PROV128;Trier;Trier;Trier;Trier;Trier;Trier;;Трир;;;X
PROV129;Koblenz;Koblenz;Koblenz;Koblenz;Koblenz;Koblenz;;Кобленц;;;X
PROV130;Mainz;Mainz;Mainz;Mainz;Mainz;Mainz;;Майнц;;;X
PROV131;Cologne;Cologne;Cologne;Cologne;Cologne;Cologne;;Кельн;;;X
PROV132;Freiburg;Freiburg;Freiburg;Freiburg;Freiburg;Freiburg;;Фрайбург;;;X
PROV133;Konstanz;Konstanz;Konstanz;Konstanz;Konstanz;Konstanz;;Констанц;;;X
PROV134;Stuttgart;Stuttgart;Stuttgart;Stuttgart;Stuttgart;Stuttgart;;Штутгарт;;;X
PROV135;Tubingen;Tubingen;Tubingen;Tubingen;Tubingen;Tubingen;;Тюбинген;;;X
PROV136;Karlsruhe;Karlsruhe;Karlsruhe;Karlsruhe;Karlsruhe;Karlsruhe;;Карлсруэ;;;X
PROV137;Kassel;Kassel;Kassel;Kassel;Kassel;Kassel;;Кассель;;;X
PROV138;Frankfurt/Main;Frankfurt/Main;Frankfurt/Main;Frankfurt/Main;Frankfurt/Main;Frankfurt/Main;;Франкфурт-на-Майне;;;X
PROV139;Darmstadt;Darmstadt;Darmstadt;Darmstadt;Darmstadt;Darmstadt;;Дармштадт;;;X
PROV140;Hanau;Hanau;Hanau;Hanau;Hanau;Hanau;;Ханау;;;X
PROV141;Muenster;Muenster;Muenster;Muenster;Muenster;Muenster;;Мюнстер;;;X
PROV142;Duesseldorf;Duesseldorf;Duesseldorf;Duesseldorf;Duesseldorf;Duesseldorf;;Дюссельдорф;;;X
PROV143;Neuwied;Neuwied;Neuwied;Neuwied;Neuwied;Neuwied;;Нойвид;;;X
PROV144;Bielefeld;Bielefeld;Bielefeld;Bielefeld;Bielefeld;Bielefeld;;Билефельд;;;X
PROV145;Essen;Essen;Essen;Essen;Essen;Essen;;Эссен;;;X
PROV146;Hannover;Hannover;Hannover;Hannover;Hannover;Hannover;;Ганновер;;;X
PROV147;Wilhelmshaven;Wilhelmshaven;Wilhelmshaven;Wilhelmshaven;Wilhelmshaven;Wilhelmshaven;;Вильгельмсхафен;;;X
PROV148;Bremen;Bremen;Bremen;Bremen;Bremen;Bremen;;Бремен;;;X
PROV149;Luneburg;Luneburg;Luneburg;Luneburg;Luneburg;Luneburg;;Люнебург;;;X
PROV150;Flensburg;Flensburg;Flensburg;Flensburg;Flensburg;Flensburg;;Фленсбург;;;X
PROV151;Lubeck;Lubeck;Lubeck;Lubeck;Lubeck;Lubeck;;Любек;;;X
PROV152;Kiel;Kiel;Kiel;Kiel;Kiel;Kiel;;Киль;;;X
PROV153;Rostock;Rostock;Rostock;Rostock;Rostock;Rostock;;Росток;;;X
PROV154;Hamburg;Hamburg;Hamburg;Hamburg;Hamburg;Hamburg;;Гамбург;;;X
PROV155;Stolp;Stolp;Stolp;Stolp;Stolp;Stolp;;Слупск;;;X
PROV156;Neuruppin;Neuruppin;Neuruppin;Neuruppin;Neuruppin;Neuruppin;;Нойруппин;;;X
PROV157;Potsdam;Potsdam;Potsdam;Potsdam;Potsdam;Potsdam;;Потсдам;;;X
PROV158;Stettin;Stettin;Stettin;Stettin;Stettin;Stettin;;Штеттин;;;X
PROV159;Meseritz;Meseritz;Meseritz;Meseritz;Meseritz;Meseritz;;Мендзыжец;;;X
PROV160;Frankfurt/Oder;Frankfurt/Oder;Frankfurt/Oder;Frankfurt/Oder;Frankfurt/Oder;Frankfurt/Oder;;Франкфурт-на-Одере;;;X
PROV161;Deutsch Krone;Deutsch Krone;Deutsch Krone;Deutsch Krone;Deutsch Krone;Deutsch Krone;;Дойч-Крона;;;X
PROV162;Stralsund;Stralsund;Stralsund;Stralsund;Stralsund;Stralsund;;Штральзунд;;;X
PROV163;Berlin;Berlin;Berlin;Berlin;Berlin;Berlin;;Берлин;;;X
PROV164;Oppeln;Oppeln;Oppeln;Oppeln;Oppeln;Oppeln;;Оппельн;;;X
PROV165;Liegnitz;Liegnitz;Liegnitz;Liegnitz;Liegnitz;Liegnitz;;Лигнице;;;X
PROV166;Waldenburg;Waldenburg;Waldenburg;Waldenburg;Waldenburg;Waldenburg;;Вальденбурге;;;X
PROV167;Breslau;Breslau;Breslau;Breslau;Breslau;Breslau;;Бреслау;;;X
PROV168;Gleiwitz;Gleiwitz;Gleiwitz;Gleiwitz;Gleiwitz;Gleiwitz;;Гляйвиц;;;X
PROV169;Magdeburg;Magdeburg;Magdeburg;Magdeburg;Magdeburg;Magdeburg;;Магдебург;;;X
PROV170;Leipzig;Leipzig;Leipzig;Leipzig;Leipzig;Leipzig;;Лейпциг;;;X
PROV171;Erfurt;Erfurt;Erfurt;Erfurt;Erfurt;Erfurt;;Эрфурт;;;X
PROV172;Cottbus;Cottbus;Cottbus;Cottbus;Cottbus;Cottbus;;Котбус;;;X
PROV173;Dresden;Dresden;Dresden;Dresden;Dresden;Dresden;;Дрезден;;;X
PROV174;Bayreuth;Bayreuth;Bayreuth;Bayreuth;Bayreuth;Bayreuth;;Байройт;;;X
PROV175;Regensburg;Regensburg;Regensburg;Regensburg;Regensburg;Regensburg;;Регенсбург;;;X
PROV176;Landshut;Landshut;Landshut;Landshut;Landshut;Landshut;;Ландсхут;;;X
PROV177;Nuremberg;Nuremberg;Nuremberg;Nuremberg;Nuremberg;Nuremberg;;Нюрнберг;;;X
PROV178;Augsburg;Augsburg;Augsburg;Augsburg;Augsburg;Augsburg;;Аугсбург;;;X
PROV179;Munich;Munich;Munich;Munich;Munich;Munich;;Мюнхен;;;X
PROV180;Wurzburg;Wurzburg;Wurzburg;Wurzburg;Wurzburg;Wurzburg;;Вюрцбург;;;X
PROV181;Danzig;Danzig;Danzig;Danzig;Danzig;Danzig;;Данциг;;;X
PROV182;Tilsit;Tilsit;Tilsit;Tilsit;Tilsit;Tilsit;;Тильзит;;;X
PROV183;Elbing;Elbing;Elbing;Elbing;Elbing;Elbing;;Эльбинг;;;X
PROV184;Koenigsberg;Koenigsberg;Koenigsberg;Koenigsberg;Koenigsberg;Koenigsberg;;Кенигсберг;;;X
PROV185;Allenstein;Allenstein;Allenstein;Allenstein;Allenstein;Allenstein;;Ольштын;;;X
PROV186;Freistadt;Freistadt;Freistadt;Freistadt;Freistadt;Freistadt;;Фрайштадт;;;X
PROV187;Linz;Linz;Linz;Linz;Linz;Linz;;Линц;;;X
PROV188;Eisenstadt;Eisenstadt;Eisenstadt;Eisenstadt;Eisenstadt;Eisenstadt;;Айзенштадт;;;X
PROV189;Innsbruck;Innsbruck;Innsbruck;Innsbruck;Innsbruck;Innsbruck;;Инсбрук;;;X
PROV190;Graz;Graz;Graz;Graz;Graz;Graz;;Грац;;;X
PROV191;Klagenfurt;Klagenfurt;Klagenfurt;Klagenfurt;Klagenfurt;Klagenfurt;;Клагенфурт;;;X
PROV192;Salzburg;Salzburg;Salzburg;Salzburg;Salzburg;Salzburg;;Зальцбург;;;X
PROV193;Sankt Poelten;Sankt Poelten;Sankt Poelten;Sankt Poelten;Sankt Poelten;Sankt Poelten;;Санкт-Пельтене;;;X
PROV194;Hollabrunn;Hollabrunn;Hollabrunn;Hollabrunn;Hollabrunn;Hollabrunn;;Холлабрун;;;X
PROV195;Vienna;Vienna;Vienna;Vienna;Vienna;Vienna;;Вена;;;X
PROV196;Brno;Brno;Brno;Brno;Brno;Brno;;Брно;;;X
PROV197;Znojmo;Znojmo;Znojmo;Znojmo;Znojmo;Znojmo;;Зноймо;;;X
PROV198;Hradec Kralove;Hradec Kralove;Hradec Kralove;Hradec Kralove;Hradec Kralove;Hradec Kralove;;Градец-Кралове;;;X
PROV199;Plzen;Plzen;Plzen;Plzen;Plzen;Plzen;;Пльзень;;;X
PROV200;Liberec;Liberec;Liberec;Liberec;Liberec;Liberec;;Либерец;;;X
PROV201;Ostrava;Ostrava;Ostrava;Ostrava;Ostrava;Ostrava;;Острава;;;X
PROV202;Ceske Budejovice;Ceske Budejovice;Ceske Budejovice;Ceske Budejovice;Ceske Budejovice;Ceske Budejovice;;Ческе-Будеевице;;;X
PROV203;Tesin;Tesin;Tesin;Tesin;Tesin;Tesin;;Тешин;;;X
PROV204;Prachatice;Prachatice;Prachatice;Prachatice;Prachatice;Prachatice;;Прахатице;;;X
PROV205;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;;Карловы Вары;;;X
PROV206;Opava;Opava;Opava;Opava;Opava;Opava;;Опава;;;X
PROV207;Prague;Prague;Prague;Prague;Prague;Prague;;Прага;;;X
PROV208;Pressburg;Pressburg;Pressburg;Pressburg;Pressburg;Pressburg;;Пресбург;;;X
PROV209;Kosice;Kosice;Kosice;Kosice;Kosice;Kosice;;Кошице;;;X
PROV210;Komarno;Komarno;Komarno;Komarno;Komarno;Komarno;;Комарно;;;X
PROV211;Banska Bystrica;Banska Bystrica;Banska Bystrica;Banska Bystrica;Banska Bystrica;Banska Bystrica;;Банска-Бистрица;;;X
PROV212;Zilina;Zilina;Zilina;Zilina;Zilina;Zilina;;Жилина;;;X
PROV213;Chust;Chust;Chust;Chust;Chust;Chust;;Хуст;;;X
PROV214;Presov;Presov;Presov;Presov;Presov;Presov;;Прешов;;;X
PROV215;Uzhorod;Uzhorod;Uzhorod;Uzhorod;Uzhorod;Uzhorod;;Ужгород;;;X
PROV216;Abenra;Abenra;Abenra;Abenra;Abenra;Abenra;;Аабенра;;;X
PROV217;Aalborg;Aalborg;Aalborg;Aalborg;Aalborg;Aalborg;;Ольборг;;;X
PROV218;Frederikshavn;Frederikshavn;Frederikshavn;Frederikshavn;Frederikshavn;Frederikshavn;;Фредериксхавн;;;X
PROV219;Odense;Odense;Odense;Odense;Odense;Odense;;Оденсе;;;X
PROV220;Arhus;Arhus;Arhus;Arhus;Arhus;Arhus;;Орхус;;;X
PROV221;Katowice;Katowice;Katowice;Katowice;Katowice;Katowice;;Катовице;;;X
PROV222;Torun;Torun;Torun;Torun;Torun;Torun;;Торунь;;;X
PROV223;Lodz;Lodz;Lodz;Lodz;Lodz;Lodz;;Лодзь;;;X
PROV224;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;;Познань;;;X
PROV225;Bydgoszcz;Bydgoszcz;Bydgoszcz;Bydgoszcz;Bydgoszcz;Bydgoszcz;;Быдгощ;;;X
PROV226;Gdynia;Gdynia;Gdynia;Gdynia;Gdynia;Gdynia;;Гдыня;;;X
PROV227;Czestochowa;Czestochowa;Czestochowa;Czestochowa;Czestochowa;Czestochowa;;Честохова;;;X
PROV228;Siedlce;Siedlce;Siedlce;Siedlce;Siedlce;Siedlce;;Седльце;;;X
PROV229;Ostroleka;Ostroleka;Ostroleka;Ostroleka;Ostroleka;Ostro??ka;;Остроленке;;;X
PROV230;Plock;Plock;Plock;Plock;Plock;P?ock;;Плоцк;;;X
PROV231;Wloclawek;Wloclawek;Wloclawek;Wloclawek;Wloclawek;W?oc?awek;;Влоцлавек;;;X
PROV232;Warsaw;Warsaw;Warsaw;Warsaw;Warsaw;Warsaw;;Варшава;;;X
PROV233;Sosnowiec;Sosnowiec;Sosnowiec;Sosnowiec;Sosnowiec;Czestochowa;;Сосновец;;;X
PROV234;Radom;Radom;Radom;Radom;Radom;Radom;;Радом;;;X
PROV235;Krakow;Krakow;Krakow;Krakow;Krakow;Krakow;;Краков;;;X
PROV236;Nowy Sacz;Nowy Sacz;Nowy Sacz;Nowy Sacz;Nowy Sacz;Nowy Sacz;;Новый Сонч;;;X
PROV237;Tarnow;Tarnow;Tarnow;Tarnow;Tarnow;Tarnow;;Тарнов;;;X
PROV238;Stanislawow;Stanislawow;Stanislawow;Stanislawow;Stanislawow;Stanis?awow;;Станиславов;;;X
PROV239;Przemysl;Przemysl;Przemysl;Przemysl;Przemysl;Przemy?l;;Пшемысль;;;X
PROV240;Tarnopol;Tarnopol;Tarnopol;Tarnopol;Tarnopol;Tarnopol;;Тарнополь;;;X
PROV241;Stryj;Stryj;Stryj;Stryj;Stryj;Stryj;;Стрый;;;X
PROV242;Lwow;Lwow;Lwow;Lwow;Lwow;Lwow;;Львов;;;X
PROV243;Lublin;Lublin;Lublin;Lublin;Lublin;Lublin;;Люблин;;;X
PROV244;Rowne;Rowne;Rowne;Rowne;Rowne;Rowne;;Ровно;;;X
PROV245;Luck;Luck;Luck;Luck;Luck;?uck;;Луцк;;;X
PROV246;Chelm;Chelm;Chelm;Chelm;Chelm;Chelm;;Холм;;;X
PROV247;Brzesc Litewski;Brzesc Litewski;Brzesc Litewski;Brzesc Litewski;Brzesc Litewski;Brze?a Litewski;;Брест Литовский;;;X
PROV248;Pinsk;Pinsk;Pinsk;Pinsk;Pinsk;Pinsk;;Пинск;;;X
PROV249;Sarny;Sarny;Sarny;Sarny;Sarny;Sarny;;Сарны;;;X
PROV250;Lomza;Lomza;Lomza;Lomza;Lomza;?om?a;;Ломжа;;;X
PROV251;Nowogrodek;Nowogrodek;Nowogrodek;Nowogrodek;Nowogrodek;Nowogrodek;;Новогрудок;;;X
PROV252;Suwalki;Suwalki;Suwalki;Suwalki;Suwalki;Suwa?ki;;Сувалки;;;X
PROV253;Slonim;Slonim;Slonim;Slonim;Slonim;S?onim;;#Н/Д;;;X
PROV254;Bialystok;Bialystok;Bialystok;Bialystok;Bialystok;Bia?ystok;;Белосток;;;X
PROV255;Grodno;Grodno;Grodno;Grodno;Grodno;Grodno;;Гродно;;;X
PROV256;Molodeczno;Molodeczno;Molodeczno;Molodeczno;Molodeczno;Mo?odeczno;;#Н/Д;;;X
PROV257;Glebokie;Glebokie;Glebokie;Glebokie;Glebokie;G??bokie;;Глубокие;;;X
PROV258;Wilno;Wilno;Wilno;Wilno;Wilno;Wilno;;Вильнюс;;;X
PROV259;Siauliai;Siauliai;Siauliai;Siauliai;Siauliai;Siauliai;;Шауляй;;;X
PROV260;Panevezys;Panevezys;Panevezys;Panevezys;Panevezys;Panevezys;;Паневежис;;;X
PROV261;Klaipeda;Klaipeda;Klaipeda;Klaipeda;Klaipeda;Klaipeda;;Клайпеда;;;X
PROV262;Kaunas;Kaunas;Kaunas;Kaunas;Kaunas;Kaunas;;Каунас;;;X
PROV263;Alytus;Alytus;Alytus;Alytus;Alytus;Alytus;;Алитус;;;X
PROV264;Riga;Riga;Riga;Riga;Riga;Riga;;Рига;;;X
PROV265;Valmiera;Valmiera;Valmiera;Valmiera;Valmiera;Valmiera;;Валмиера;;;X
PROV266;Daugavpils;Daugavpils;Daugavpils;Daugavpils;Daugavpils;Daugavpils;;Даугавпилс;;;X
PROV267;Jekabpils;Jekabpils;Jekabpils;Jekabpils;Jekabpils;Jekabpils;;Екабпилс;;;X
PROV268;Liepaja;Liepaja;Liepaja;Liepaja;Liepaja;Liepaja;;Лиепая;;;X
