##;HEARTS OF IRON!;;;;;;;;;;X,
##;;;;;;;;;;;X,
##;;;;;;;;;;;X,
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X,
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X,
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X,
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X,
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X,
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X,
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X,
##;;;;;;;;;;;X,
##;;;;;;;;;;;X,
##;NOTES TO TRANSLATORS:;;;;;;;;;;X,
##;=====================;;;;;;;;;;X,
##;;;;;;;;;;;X,,,,,
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X,,,
##;2) '%d' is for indicating where another integer value is inserted, and MAY NEVER BE REMOVED! If there are more than one '%d' in a string, they may not change places. ('%.1f' is used in exactly the same way but for non-integer values ?  '%c%d' is used for values that are displayed with a '+' or '-' sign in front, DO NOT CHANGE, ADD, OR REMOVE!);;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X,,,,
##;4) The characters '#' (hashmark), semicolon, '%' (percentage sign), '?' (paragraph sign), quotation marks and '\' (backslash) MAY NOT BE USED (except when used as control codes ? this will otherwise create serious problems!!! Quotation marks may not even be used in comments -- use a 'citation mark' (single) instead if necessary!);;;;;;;;;;X,
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X,,,,
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X,,,,
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X,,,,
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X,,,,
##;§W = white text;;;;;;;;;;X,,,,,
##;§Y = orange text;;;;;;;;;;X,,,,,
##;Note that the color change will be applied to all words after the code, until the end of the line that the word is printed on. If several words should have a color change, put the code in front of each of them to be on the safe side. If only one word should have a color change, make sure to reset the color after the word.;;;;;;;;;;X,,
##;9) Unless otherwise specifically stated, length of words and texts does not really matter THAT much (message boxes, rollover help boxes and buttons WILL stretch to fit the text string) ? however you will notice once the translation is inserted that space IS limited in quite a few areas? so be brief, and try not to use words that are considerably longer than the english original.;;;;;;;;;;X,,
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X,,,,,
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X,,,,,
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not not exported into the actual text database file);;;;;;;;;;X,,,,
##;;;;;;;;;;;X,
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X,
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X,
##;;;;;;;;;;;X,
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X,
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X,
PLEASESELECT;LEFT-CLICK ON A PROVINCE OR UNIT TO SELECT IT.\n \nRIGHT-CLICK ON A PROVINCE OR UNIT TO ACCESS SHORTCUT COMMANDS.\n \nIF YOU HAVE A UNIT SELECTED, RIGHT-CLICK ON ITS DESTINATION TO MOVE IT.;CLIQUEZ SUR UNE PROVINCE OU UNE UNITE POUR LA SELECTIONNER.\n \nEFFECTUEZ UN CLIC DROIT SUR UNE PROVINCE OU UNE UNITE POUR ACCEDER A SON MENU.\n \nEFFECTUEZ UN CLIC DROIT SUR LA DESTINATION DE L'UNITE SELECTIONNEE POUR LUI DONNER L'ORDRE DE S'Y RENDRE.;CLICCA SU UNA PROVINCIA O UN'UNITА PER SELEZIONARLA.\n \nPER SPOSTARE UN'UNITА SELEZIONATA, CLICCA COL PULSANTE DESTRO DEL MOUSE SULLA DESTINAZIONE.;HAZ CLIC IZQUIERDO EN UNA PROVINCIA O UNIDAD PARA SELECCIONARLA.\n \nHAZ CLIC DERECHO EN UNA PROVINCIA O UNIDAD PARA ACCEDER A LOS ATAJOS DE LAS УRDENES.\n \nSI TIENES SELECCIONADA UNA UNIDAD, HAZ CLIC DERECHO EN SU LUGAR DE DESTINO PARA MOVERLA.;LINKSKLICKEN SIE AUF EINE PROVINZ ODER EINHEIT, UM SIE AUSZUWДHLEN.\n \nRECHTSKLICKEN SIE AUF EINE PROVINZ ODER EINHEIT FЬR BEFEHLSKЬRZEL.\n \nWENN EINE EINHEIT AUSGEWДHLT IST, RECHTSKLICKEN SIE IHREN ZIELORT, UM SIE DORTHIN ZU BEWEGEN;Naciњnij LPM, aby wybraж jednostkк lub prowincjк. \n \nPPM wyњwietli skrуty.\n \nPo zaznaczeniu jednostki PPM moїesz wskazaж miejsce, w ktуre ma siк ona przemieњciж.;;ЛЕВАЯ КНОПКА МЫШИ НА ПРОВИНЦИИ ИЛИ ЮНИТЕ, ЧТОБЫ ВЫДЕЛИТЬ ЕГО.\n \nПРАВАЯ КНОПКА МЫШИ НА ПРОВИНЦИИ ИЛИ ЮНИТЕ ДЛЯ ДОСТУПА К КОНТЕКСТНОМУ МЕНЮ.\n \n ЕСЛИ ВЫ ВЫБРАЛИ ЮНИТА, ТО КЛИКНИТЕ ПРАВОЙ КНОПКОЙ МЫШИ НА ПУТЬ НАЗНАЧЕНИЯ ДЛЯ ЕГО ПЕРЕМЕЩЕНИЯ.;;;X
##;;;;;;;;;;;X,,,,,,,,
HOSTLEFT;The host has left the game!;L'hфte a quittй la partie !;L'host ha abbandonato la partita!;El anfitriуn deja la partida.;Der Host hat das Spiel verlassen!;Host opuњciі grк.;;Сервер покинул игру!;;;X,,,,,,,,
CLIENTLEFT;%s (%s) has left the game!;%s (%s) a quittй la partie !;%s (%s) ha abbandonato la partita!;%s (%s) deja la partida.;%s (%s) hat das Spiel verlassen!;%s (%s) opuњciі grк.;;Игрок %s (%s) покинул игру;;;X,,,,,,,,,,,
PLAYERLAG_HEADER;Network Latency;Temps de latence rйseau;Ritardo di rete;Latencia de red;Netzwerklatenz;Opуџnienie poі№czenia sieciowego;;Время ожидания сети;;;X,,,,,,,,,,,
PLAYERLAG_MSG_HOST;By dropping a player, lag may improve but the dropped player will not be able to continue. If you save and quit you can reconnect to the saved game when network latency has improved.;Excluez un joueur de la partie pour rйduire le temps de latence. Cependant, le joueur exclu ne pourra pas revenir dans la partie… Sauvegardez et quittez la partie puis reconnectez-vous а la partie sauvegardйe lorsque le temps de latence aura diminuй.;Espellendo un giocatore, il ritardo potrebbe ridursi. Tuttavia, il giocatore espulso non potrа continuare a giocare. Puoi salvare la partita e uscire, quindi riconnetterti e continuare quando il ritardo sarа diminuito.;Si prescindes de un jugador, la latencia puede mejorar pero el jugador en cuestiуn no podrб continuar. Si guardas una partida y sales de ella, podrбs volver a conectarte a la partida guardada cuando la latencia de la red haya mejorado.;Durch Entfernen eines Spielers aus dem Spiel kann die Signalverzцgerung (der sog. 'Lag') verbessert werden, aber der Spieler kann dann nicht weiter am Spiel teilnehmen. Wenn Sie das Spiel speichern und beenden, kцnnen Sie das gespeicherte Spiel wieder aufnehmen.;Wykluczenie gracza z duїym lagiem moїe poprawiж jakoњж rozgrywki sieciowej, jednak wykluczony gracz nie bкdzie mуgі kontynuowaж gry. Grк przed przerwaniem moїna zapisaж i kontynuowaж j№, kiedy ruch w sieci ulegnie zmniejszeniu.;;Если отключить игрока, то лагов может стать меньше и игрок не сможет продолжить игру. Если только не сохраниться и загрузиться с игроком, когда связь улучшится.;;;X
PLAYERLAG_MSG_CLIENT;The more bullets, the better the connection.;La quantitй de bulles symbolise la qualitй de la connexion.;Piщ proiettili, miglior connessione.;Cuantos mбs recuadros, mejor serб la conexiуn.;Je mehr Markierungszeichen, desto besser die Verbindung.;Im wiкcej nabojуw, tym lepsze poі№czenie.;;Чем крепче яйца, тем лучше связь.;;;X,,,,,,
BTN_DROPCONT;Drop and continue playing;Exclure et continuer а jouer;Espelli e continua a giocare.;Prescindir y seguir jugando;Fallenlassen und weiterspielen;Wyklucz i kontynuuj grк;;Отключить игрока и продолжить игру;;;X,,,,,,,,,,,
BTN_SAVEQUIT;Save and quit;Sauvegarder et quitter;Salva ed esci;Guardar y salir;Speichern und beenden;Zapisz i wyjdџ;;Сохранение и выход;;;X,,,,,,,,,,,
##;;;;;;;;;;;X,,,,,,,,,,,
GOTOBOX;Please enter the name of the province you wish to find.;Veuillez saisir le nom de la province а trouver.;Inserisci il nome della provincia da cercare.;Escribe el nombre de la provincia que quieras buscar.;Bitte geben Sie den Namen der zu suchenden Provinz ein.;Wprowadџ nazwк prowincji, ktуrej szukasz.;;Введите название провинции, которую вы хотите найти.;;;X,,,,,,,,,,
GOTOBOX_FAIL;There is no such province, please enter the name of the province you wish to find.;Province inexistante. Veuillez saisir le nom de la province а trouver.;Provincia inesistente. Inserisci il nome della provincia da cercare.;Esa provincia no existe. Escribe el nombre de la provincia que quieras buscar.;Diese Provinz existiert nicht. Bitte geben Sie den Namen der zu suchenden Provinz ein.;Taka prowincja nie istnieje, wprowadџ inn№ nazwк.;;Такой провинции нет. Введите название провинции, которую вы хотите найти.;;;X,,,,,,,,,
MP_OK;Status OK;Statut OK;Stato OK;Estado correcto;Status OK;Status OK;;Статус ОК;;;X,,,,,,,,,,,
MP_WAITING;Connecting...;Connexion…;Connessione in corso...;Conectando...;Verbinden...;Ј№czenie...;;Установка соединения…;;;X,,,,,,,,,,,
##;;;;;;;;;;;X,,,,,,,,,,,
#  EVENT WINDOW STRINGS;;;;;;;;;;;X,,,,,,,,,,,
##;;;;;;;;;;;X,,,,,,,,,,,
EVENTWINDOW_GOTO;Goto;Aller а;Vai a;Ir allн;Gehe zu;Przejdџ;;Перейти;;;X,,,,,,,,,,,
EVENTWINDOW_CLOSE;Close;Fermer;Chiudi;Cerrar;SchlieЯen;Zamknij;;Закрыть;;;X,,,,,,,,,,,
##;;;;;;;;;;;X
#  MONTHS;;;;;;;;;;;X
##;;;;;;;;;;;X
JANUARY;January;Janvier;Gennaio;Enero;Januar;styczeс;;Января;;;X
FEBRUARY;February;Fйvrier;Febbraio;Febrero;Februar;luty;;Февраля;;;X
MARCH;March;Mars;Marzo;Marzo;Mдrz;marzec;;Марта;;;X
APRIL;April;Avril;Aprile;Abril;April;kwiecieс;;Апреля;;;X
MAY;May;Mai;Maggio;Mayo;Mai;maj;;Мая;;;X
JUNE;June;Juin;Giugno;Junio;Juni;czerwiec;;Июня;;;X
JULY;July;Juillet;Luglio;Julio;July;lipiec;;Июля;;;X
AUGUST;August;Aoыt;Agosto;Agosto;August;sierpieс;;Августа;;;X
SEPTEMBER;September;Septembre;Settembre;Septiembre;September;wrzesieс;;Сентября;;;X
OCTOBER;October;Octobre;Ottobre;Octubre;Oktober;paџdziernik;;Октября;;;X
NOVEMBER;November;Novembre;Novembre;Noviembre;November;listopad;;Ноября;;;X
DECEMBER;December;Dйcembre;Dicembre;Diciembre;Dezember;grudzieс;;Декабря;;;X
##;;;;;;;;;;;X
JAN;JAN;JAN;GEN;ENE;JAN;sty;;ЯНВ;;;X
FEB;FEB;FEV;FEB;FEB;FEB;lut;;ФЕВ;;;X
MAR;MAR;MAR;MAR;MAR;MДR;mar;;МАР;;;X
APR;APR;AVR;APR;ABR;APR;kwi;;АПР;;;X
MAYS;MAY;MAI;MAG;MAY;MAI;maj;;МАЙ;;;X
JUN;JUN;JUI;GIU;JUN;JUN;cze;;ИЮН;;;X
JUL;JUL;JUL;LUG;JUL;JUL;lip;;ИЮЛ;;;X
AUG;AUG;AOU;AGO;AGO;AUG;sie;;АВГ;;;X
SEP;SEP;SEP;SET;SEP;SEP;wrz;;СЕН;;;X
OCT;OCT;OCT;OTT;OCT;OCT;paџ;;ОКТ;;;X
NOV;NOV;NOV;NOV;NOV;NOV;lis;;НОЯ;;;X
DEC;DEC;DEC;DIC;DIC;DEZ;gru;;ДЕК;;;X
##;;;;;;;;;;;X
TERRAINCOGNITA;Terra Incognita;Terra Incognita;Terra sconosciuta;Terra Incognita;Terra Incognita;Terra Incognita;;Земля неизведанная;;;X
BORDER;Border between countries;Frontiиre;Confine fra due nazioni;Frontera entre paнses;Landesgrenze;Granica miкdzy paсstwami;;Граница между странами;;;X
##;;;;;;;;;;;X
CHAR_BILLION;G;G;G;G;G;G;; Млрд.;;;X
CHAR_MILLION;M;M;M;M;M;M;; Млн.;;;X
CHAR_THOUSAND;K;K;K;K;K;k;; Тыс.;;;X
##;;;;;;;;;;;X
RESOURCE_OIL;Oil;Pйtrole;Petrolio;Petrуleo;Цl;Ropa;;Нефть;;;X
RESOURCE_METAL;Metal;Acier;Acciaio;Metal;Metall;Stal;;Металл;;;X
RESOURCE_RARE_MATERIALS;Rare Materials;Matйriaux prйcieux;Materiali rari;Materiales raros;Seltenes Material;Materiaіy Rzadkie;;Дефицитное сырье;;;X
RESOURCE_MONEY;Money;Argent;Denaro;Dinero;Geld;Pieni№dze;;Деньги;;;X
RESOURCE_TC;Transport Capacity;Capacitй de transport;Capacitа di trasporto;Capac. transporte;Transportkapazitдt;Zdolnoњж transportowa;;Пропускная способность;;;X
RESOURCE_MANPOWER;Manpower;Main d'oeuvre;Forza lavoro;Rec. hum.;Wehrfдhige;Zasoby ludzkie ;;Людские ресурсы;;;X
RESOURCE_ENERGY;Energy;Energie;Energia;Energнa;Energie;Energia;;Энергия;;;X
RESOURCE_IC;Industrial Capacity;Points de production;Produzione industriale;Capacidad industrial;Industriekapazitдt;Potencjaі przemysіowy;;Промышленный потенциал;;;X
RESOURCE_SUPPLY;Supplies;Ravitaillement;Rifornimenti;Suministros;Nachschub;Zaopatrzenie;;Военные припасы;;;X
RESOURCE_DISSENT;Dissent;Instabilitй;Dissenso;Disensiуn;Unruhe;Niezadowolenie;;Недовольство;;;X
NUKE_NEXT;Our next atomic bomb will be ready at %s.;Mise а disposition de la prochaine ogive nuclйaire: %s.;La prossima bomba atomica sarа pronta a %s.;La siguiente bomba atуmica estarб disponible: %s.;Unsere nдchste Atombombe wird am %s einsatzbereit sein.;Kolejna bomba atomowa bкdzie gotowa w %s.;;Наша следующая атомная бомба будет готова %s.;;;x
NUKES;Nuclear Bombs;Ogives nuclйaires;Bombe atomiche;Bombas nucleares;Atombomben;Bomby j№drowe;;Атомные бомбы;;;x
NUKES_UNKNOWN;We do not know how to produce A-Bombs yet.;Nous ne savons pas comment produire des ogives nuclйaires.;Al momento, non sappiamo come produrre delle bombe atomiche.;Aъn no sabemos cуmo producir bombas atуmicas.;Unser Wissen reicht momentan nicht aus, um weitere Atombomben zu produzieren.;Nie potrafimy jeszcze produkowaж broni atomowej.;;Мы еще не умеем делать атомные бомбы.;;;x
NUKES_LOW_CAP;Our Nuclear Reactor is too small to allow A-Bomb production.;Notre Rйacteur nuclйaire est trop petit pour produire une ogive nuclйaire.;Il nostro reattore nucleare и troppo piccolo per la produzione della bomba atomica.;Nuestro reactor nuclear es demasiado pequeсo para producir bombas-A.;Unser Kernreaktor reicht nicht aus, um A-Bomben zu produzieren.;Nasz reaktor nuklearny jest zbyt maіy do produkcji broni atomowej.;;Наш ядерный реактор слишком мал для производства атомных бомб.;;;X,
##;;;;;;;;;;;x,,
WAR_BELLIGERENCE;- Wartime Belligerence: %s%.1f per month\n;Belligйrance en temps de guerre : %s%.1f par mois\n;- Belligeranza in tempo di guerra: %s%.1f al mese\n;- Beligerancia en la guerra: %s%.1f al mes\n;- Aggresivitдt in Kriegszeiten: %s%.1f pro Monat\n;- Wojowniczoњж w trakcie wojny: %s%.1f na miesi№c\n;;- Агрессивность военного времени: %s%.1f в месяц\n;;;x,,
PEACE_BELLIGERENCE;- Peacetime Belligerence: %s%.1f per month\n;- Belligйrance en temps de paix: %s%.1f par mois\n;- Belligeranza in tempo di pace: %s%.1f al mese\n;- Beligerancia en la paz: %s%.1f al mes\n;- Aggresivitдt im Frieden: %s%.1f pro Monat\n;- Wojowniczoњж w czasie pokoju: %s%.1f na miesi№c\n;;- Агрессивность мирного времени: %s%.1f в месяц\n;;;x,,
DOW_BELLIGERENCE;- Belligerence required to DoW: %s%d\%%\n;- Belligйrance requise pour DoW: %s%d\%%\n;- Belligeranza necessaria per entrare in guerra: %s%d\%%\n;- Beligerancia necesaria para decl. guer.: %s%d\%%\n;- Aggresivitдt erforderlich fьr Kriegserklдrung: %s%d\%%\n;- Wojowniczoњж wymagana do wypowiedzenia wojny: %s%d\%%\n;;- Агрессивность для объявления войны: %s%d\%%\n;;;x,,
DISSENT_GROWTH;- Dissent Growth Rate: %s%d\%%\n;- Taux de croissance instabilitй: %s%d\%%\n;- Tasso di crescita del dissenso: %s%d\%%\n;- Tasa crecim. disensiуn: %s%d\%%\n;- Wachstumsrate Unruhe %s%d\%%\n;- Tempo wzrostu niezadowolenia: %s%d\%%\n;;- Рост недовольства: %s%d\%%\n;;;x,,
MONEY_PRODUCTION;- Money Production: %s%d\%%\n;- Production d’argent: %s%d\%%\n;- Produzione di denaro: %s%d\%%\n;- Producciуn de dinero: %s%d\%%\n;- Geldproduktion: %s%d\%%\n;- Generacja dochodуw: %s%d\%%\n;;- Доход: %s%d\%%\n;;;x,,
OIL_PRODUCTION;- Oil Production: %s%d\%%\n;- Production de pйtrole: %s%d\%%\n;- Produzione di petrolio: %s%d\%%\n;- Producciуn de petrуleo: %s%d\%%\n;- Цlproduktion: %s%d\%%\n;- Wydobycie ropy: %s%d\%%\n;;- Нефть: %s%d\%%\n;;;x,,
CG_NEED;Consumer Goods Need;Besoins en biens de consommation;Fabbisogno di beni di consumo;Bienes de consumo necesarios;Bedarf an Konsumgьtern;Wymagane dobra konsumpcyjne;;Необходимо ТНП;;;x,,
COUP_VS_US;- Chance to Coup us: %s%d\%%\n;- Chances de coup d’йtat contre nous: %s%d\%%\n;- Probabilitа di rovesciamento del governo: %s%d\%%\n;- Prob. de hacernos golpe de estado: %s%d\%%\n;- Wahrscheinlichkeit eines Staatsstreichs: %s%d\%%\n;- Prawdopodobieсstwo zamachu stanu: %s%d\%%\n;;- Шанс на успех переворота: %s%d\%%\n;;;x,,
ALLIANCE_W_DICTATORSHIPS;- Alliance Chance with Dictatorships: %s%d\%%\n;- Chances d’alliance avec des dictatures: %s%d\%%\n;- Probabilitа di alleanza con regimi dittatoriali: %s%d\%%\n;- Prob. de alianza con dictaduras: %s%d\%%\n;- Wahrscheinlichkeit einer Allianz mit Diktaturen: %s%d\%%\n;- Szansa na sojusz z dyktatur№: %s%d\%%\n;;- Шанс на союз с диктатурами: %s%d\%%\n;;;x,,
ALLIANCE_W_DEMOCRACIES;- Alliance Chance with Democracies: %s%d\%%\n;- Chances d’alliance avec des dйmocraties: %s%d\%%\n;- Probabilitа di alleanza con le democrazie: %s%d\%%\n;- Prob. de alianza con democracias: %s%d\%%\n;- Wahrscheinlichkeit einer Allianz mit Demokratien: %s%d\%%\n;- Szansa na sojusz z paсstwem demokratycznym: %s%d\%%\n;;- Шанс на союз с демократиями: %s%d\%%\n;;;x,,
ALLIANCE_W_CLOSE_IDEOLOGY;- Alliance Chance with Close Ideologies: %s%d\%%\n;- Chances d’alliance avec des idйologies proches: %s%d\%%\n;- Probabilitа di alleanza con ideologie simili: %s%d\%%\n;- Prob. de alianza con ideologнas afines: %s%d\%%\n;- Wahrscheinlichkeit einer Allianz mit verwandten Ideologien: %s%d\%%\n;- Szansa na sojusz z krajem bliskim ideologicznie: %s%d\%%\n;;- Шанс на союз с близкими идеологиями: %s%d\%%\n;;;x,,
ALLIANCE_W_ALL;- Alliance Chance: %s%d\%%\n;- Chances d’alliance: %s%d\%%\n;- Probabilitа di alleanza: %s%d\%%\n;- Prob. de alianza: %s%d\%%\n;- Wahrscheinlichkeit einer Allianz: %s%d\%%\n;- Szansa na sojusz z: %s%d\%%\n;;- Шанс на союз: %s%d\%%\n;;;x,,
UNIT_COST;- Unit Build Costs: %s%d\%%\n;- Frais de construction d’unitйs: %s%d\%%\n;- Costi di costruzione unitа: %s%d\%%\n;- Costes de construcciуn/unidad: %s%d\%%\n;- Baukosten Einheit: %s%d\%%\n;- Koszt budowy jednostki: %s%d\%%\n;;- Стоимость создания воинских частей: %s%d\%%\n;;;x,,
DIPLO_COST;- Diplomacy Costs: %s%d\%%\n;- Coыts de la Diplomatie: %s%d\%%\n;- Costi diplomazia: %s%d\%%\n;- Costes diplomбticos: %s%d\%%\n;- Diplomatiekosten: %s%d\%%\n;- Koszty dyplomatyczne: %s%d\%%\n;;- Дипломатические расходы: %s%d\%%\n;;;x,,,,,,,,
