#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portugese;Russian;;Extra2;X
EE_START_RESEARCH;Start researching %s.;Commencer la recherche de %s.;Avvio ricerca di %s.;Iniciar investigaciуn de %s.;Forschungsprojekt beginnen %s.;Rozpocznij badania: %s.;;Начать разработку: %s;;;X
EE_PRIO_RESEARCH;Prioritize researching %s.;Favoriser la recherche de %s.;Prioritа alla ricerca di %s.;Priorizar la investigaciуn de %s.;Forschungsprojekt priorisieren %s.;Nadaj priorytet badaniom: %s.;;%s' становится первоочередной разработкой.;;;X
EE_END_ACCESS;Cancel military access for %s.;Annuler l'accиs militaire de %s.;Revoca l'accesso miliare a %s.;Cancelar acceso militar a %s.;Die militдrische Durchmarschgenehmigung fьr %s aufheben.;Wycofaj dostкp militarny dla: %s.;;Запрещается проход войск государству %s.;;;X
EE_LEAVE_ALLIANCE;Leave our military alliance.;Quitter notre alliance militaire.;Abbandona l'alleanza militare.;Dejar nuestra alianza militar.;Verlassen Sie unser Militдrbьndnis.;Wypowiedz nasz sojusz.;;Выход из военного союза.;;;X
EE_END_PUPPET;Break our 'puppet' status.;Briser notre statut de rйgime fantoche.;Combatti il regime fantoccio.;Acabar con nuestra condiciуn de 'tнteres'.;Wir betrachten uns nicht lдnger als Marionettenstaat.;Wyіam siк spod statusu paсstwa satelickiego.;;Отвергается наш статус марионетки.;;;X
EE_END_MASTERY;End our 'puppet mastery' over %s.;Mettre fin а notre gouvernement fantoche en %s.;Rimuovi il regime fantoccio su: %s.;Dejar de ser los amos del tнtere de %s.;Wir betrachten %s nicht lдnger als Marionettenstaat.;Zakoсcz nasz№ kontrolк nad: %s.;;Отказ от управления государством %s через марионеточный режим.;;;X
EE_GUARANTEE;%s guarantees the independence of %s.;%s garantit l'indйpendance de %s.;%s garantisce l'indipendenza di %s.;%s garantiza la independencia de %s.;%s garantiert die Unabhдngigkeit von %s.;%s jest gwarantem niepodlegіoњci %s.;;Государство %s гарантирует независимость государства %s.;;;X
EE_END_GUARANTEE;%s ceases guaranteeing the independence of %s.;%s cesse de garantir l'indйpendance de %s.;%s non garantisce piщ l'indipendenza di %s.;%s deja de garantizar la independencia de %s.;%s garantiert nicht mehr die Unabhдngigkeit von%s.;%s nie jest juї gwarantem niepodlegіoњci %s.;;Государство %s отзывает гарантию независимости государства %s.;;;X
EE_ALLOW_CONVOY_ESCORTS;We may now build convoy escorts.;Possibilitй de construire des bвtiments d'escorte de convois.;Possiamo costruire le scorte del convoglio.;Ahora podemos construir escoltas de convoy.;Wir kцnnten jetzt Konvoi-Eskorten bauen.;Moїemy juї budowaж eskorty konwojуw.;;Можно строить корабли сопровождения.;;;X
EE_TRANSPORT_POOL;%s receives %d convoy transports.;%s reзoit %d transports de convoi.;%s riceve %d mezzi di trasporto del convoglio.;%s recibe %d transportes de convoy.;%s erhдlt %d Konvoi-Transporter.;%s otrzymuje %d transportowcуw dla konwojуw.;;Государство %s получает %d транспортов.;;;X
EE_ESCORT_POOL;%s receives %d convoy escorts.;%s reзoit %d bвtiments d'escorte de convoi.;%s riceve %d scorte del convoglio.;%s recibe %d escoltas de convoy.;%s erhдlt %d Konvoi-Eskorten.;%s otrzymuje %d statkуw eskorty dla konwojуw.;;Государство %s получает %d кораблей сопровождения.;;;X
EE_PEACETIME_IC_MOD;Peacetime IC modifier changed by %s%.1f\%%.;Modificateur PP en temps de paix changй par %s%.1f\%%.;Il modificatore della PI in tempo di pace и cambiato di %s%.1f\%%.;El modificador a la CI por tiempos de paz cambia en %s%.1f\%%.;Friedenszeit IK-Modifikator geдndert von %s%.1f\%%.;Pokojowy modyfikator PP zmienia siк o %s%.1f\%%.;;Модификатор ПП мирного времени меняется на %s%.1f\%%.;;;X
EE_NON_AGGRESSION;%s enters a non-aggression pact with %s.;%s conclut un pacte de non-agression avec %s.;%s stipula un patto di non belligeranza con %s.;%s entra en un pacto de no agresiуn con %s.;%s geht einen Nichtangriffspakt mit %s ein.;%s wchodzi w pakt o nieagresji z %s.;;Государство %s заключает договор о ненападении с государством %s.;;;X
EE_END_NON_AGGRESSION;%s ends its non-aggression pact with %s.;%s rompt son pacte de non-agression avec %s.;%s termina il patto di non belligeranza con %s.;%s finaliza su pacto de no agresiуn con %s.;%s beendet seinen Nichtangriffspakt mit %s.;%s zrywa pakt o nieagresji z %s.;;Государство %s выходит из договора о ненападении с государством %s.;;;X
EE_END_TRADES;All trade agreements between %s and %s are cancelled.;Tous les accords d'йchanges commerciaux entre %s et %s sont annulйs.;Tutti gli accordi commerciali tra %s e %s sono stati annullati.;Todos los tratados comerciales entre %s y %s estбn cancelados.;Alle Handelsvertrдge zwischen %s und %s sind annulliert.;Wszystkie umowy handlowe pomiкdzy %s i %s zostaj№ anulowane.;;Все торговые соглашения между государствами %s и %s разрываются.;;;X
EE_TRADE;New trade agreement initiated between %s (A) and %s (B):;Nouvel accord commercial proposй entre %s (A) et %s (B):;Nuovo accordo commerciale tra %s (A) e %s (B):;Iniciado un nuevo tratado comercial entre %s (A) y %s (B):;Neue Handelsvertrдge zwischen %s (A) und %s (B) eingeleitet:;Nowa umowa handlowe zawarta pomiкdzy %s (A) i %s (B):;;Начинает действовать новое торговое соглашение между государствами %s (A) и %s (B):;;;X
EE_TRADE_RESOURCE_POS;%.1f %s from A to B.;%.1f %s de A а B.;%.1f %s da A a B.;%.1f %s de A a B.;%.1f %s von A nach B.;%.1f %s z A do B.;;%.1f %s от A к B.;;;X
EE_TRADE_RESOURCE_NEG;%.1f %s from B to A.;%.1f %s de B а A.;%.1f %s da B a A.;%.1f %s de B a A.;%.1f %s von B nach A.;%.1f %s z B do A.;;%.1f %s от B к A.;;;X
EE_SET_LEADER_LOY;The leader %s gets his loyalty modified by %d.;Le commandant %s voit sa loyautй modifiйe de %d.;La lealtа del leader %s и stata modificata di %d.;La lealtad del lнder %s cambia en %d.;Die Loyalitдt des Anfьhrers %s wird modifiziert mit %d.;Przywуdca %s ma lojalnoњж zmodyfikowan№ o %d.;;Военачальник %s: лояльность изменяется на %d.;;;X
EE_SET_MINISTER_LOY;The minister %s gets his loyalty modified by %d.;Le ministre %s voit sa loyautй modifiйe de %d.;La lealtа del ministro %s и stata modificata di %d.;La lealtad del ministro %s cambia en %d.;Die Loyalitдt des Ministers %s wird modifiziert mit %d.;Minister %s ma lojalnoњж zmodyfikowan№ o %d.;;Министр %s: лояльность изменяется на %d.;;;X
EE_DELETE_UNIT;Unit %s is destroyed.;L'unitй %s a йtй dйtruite.;L'unitа %s и stata distrutta.;Unidad %s destruida.;Einheit %s wurde vernichtet.;Jednostka %s jest zniszczona.;;Часть %s уничтожена.;;;X
EE_MINISTER;%s can now become a minister.;%s peut dйsormais кtre nommй ministre.;%s puт diventare ministro.;%s ahora puede convertirse en ministro.;%s kann jetzt Minister werden.;%s moїe juї zostaж ministrem.;;%s теперь может стать министром.;;;X
EE_HOS;Head of State: %s.;Chef de l'Etat : %s.;Capo di Stato: %s.;Jefe de Estado: %s.;Staatschef: %s.;Gіowa paсstwa: %s.;;Глава государства: %s.;;;X
EE_HOG;Head of Government: %s.;Chef du Gouvernement : %s.;Capo del Governo: %s;Jefe de Gobierno: %s.;Regierungschef: %s.;Szef rz№du: %s.;;Глава правительства: %s.;;;X
EE_FGNMIN;Foreign Minister: %s.;Ministre des Affaires Etrangиres : %s.;Ministro degli Esteri: %s;Ministro Exteriores: %s.;AuЯenminister: %s.;Minister spraw zagranicznych: %s.;;Министр иностранных дел: %s.;;;X
EE_ARMMIN;Armament Minister: %s.;Ministre de l'Armement : %s.;Ministro della Difesa: %s;Ministro Defensa: %s.;Verteidigungsminister: %s.;Minister zbrojeс: %s.;;Министр военпрома: %s.;;;X
EE_SECMIN;Minister of Security: %s.;Ministre de la Sйcuritй : %s.;Ministro della Sicurezza: %s;Ministro Seguridad: %s.;Sicherheitsminister: %s.;Minister bezpieczeсstwa: %s;;Министр госбезопасности: %s.;;;X
EE_INTMIN;Minister of Intelligence: %s;Ministre du Renseignement : %s;Ministro dei Servizi segreti: %s;Jefe Inteligencia Militar: %s;Geheimdienstminister: %s;Szef wywiadu wojskowego: %s;;Глава разведки: %s;;;X
EE_STAFF;Chief of Staff: %s.;Chef d'Etat-major : %s.;Capo di Stato Maggiore: %s.;Jefe Estado Mayor: %s.;Generalstabschef: %s.;Szef sztabu: %s.;;Начальник генштаба: %s.;;;X
EE_CARMY;Chief of Army: %s.;Chef de l'Armйe de terre : %s.;Capo dell'Esercito: %s;Jefe Ejйrcito: %s.;Chef der Armee: %s.;Dowуdca wojsk l№dowych: %s.;;Главнокомандующий армии: %s.;;;X
EE_CNAVY;Chief of Navy: %s.;Chef de la Marine : %s.;Capo della Marina: %s;Jefe Marina: %s.;Chef der Marine: %s.;Dowуdca marynarki: %s.;;Главнокомандующий ВМФ: %s.;;;X
EE_CAIR;Chief of Air: %s;Chef de l'Armйe de l'air : %s.;Capo dell'Aeronautica: %s;Jefe F. Aйreas: %s;Chef der Luftwaffe: %s;Dowуdca siі powietrznych: %s.;;Главнокомандующий ВВС: %s.;;;X
EE_DESERTIONS;Lose %d men in %s.;%d hommes perdus (%s).;Hai perso %d uomini in %s;%d hombres perdidos en %s.;%d Mдnner in %s verlieren.;Utrata %d ludzi w %s.;;Потеряно %d человек в провинции %s.;;;X
EVENT_SELECTION;%s : We went with %s in %s.;%s : Nous avons choisi %s lors de l'йvйnement historique %s.;%s: Abbiamo scelto %s in seguito all'evento: %s.;%s: Hemos tomado una decisiуn (%s) en %s.;%s : Wir gingen mit %s in %s.;%s: Zareagowaliњmy: %s na wydarzenie: %s.;;%s: Мы выбрали вариант '%s', когда произошло событие '%s'.;;;X
EVENT_SIMPLE;%s : %s happened to us.;%s : l'йvйnement historique %s vient d'avoir lieu!;%s: Si и verificato il seguente evento: %s.;%s: Nos ha sucedido lo siguiente: %s;%s : %s ist uns passiert.;%s: Nast№piіo wydarzenie: %s.;;%s: У нас произошло событие '%s'.;;;X
EE_P_CUL;Culture in %s changed to %s;La culture de %s est passйe а %s;La cultura in %s и cambiata in %s.;La cultura de %s ha cambiado a la de %s.;Kultur in %s дnderte sich zu %s;Poziom kultury w %s zmieniony na %s;;Культура в провинции %s изменилась на %s;;;X
EE_P_TAX;Basic Taxvalue in %s:  %s%d;Valeur de l'impфt de base а %s: %s%d;Tasse di base in %s: %s%d.;Valor bбs. impuestos %s: %s%d;Einfacher Steuerwert in %s:  %s%d;Podstawowy podatek w %s: %s%d;;Базовый уровень налогов в %s: %s%d;;;X
EE_P_MAN;Manpower in %s: %s%d;Main d'oeuvre а %s : %s%d;Forza lavoro in %s: %s%d.;Rec. hum. %s: %s%d;Wehrfдhige in %s: %s%d;Siіa robocza w %s: %s%d;;Людские ресурсы в провинции %s: %s%d;;;X
EE_P_MINE;Mine in %s: %s%d;Mine а %s : %s%d;Miniera in %s: %s%d.;Mina de %s: %s%d;Mine in %s: %s%d;Wydobycie w %s: %s%d;;Рудник в %s: %s%d;;;X
EE_NATIVE;Native Agressivenes in %s set to level %d;Agression des autochtones de %s mise а niveau %d;L'aggressivitа della popolazione in %s и di livello %d.;La agresividad de nativos de %s pasa a nivel %d;Aggressivitдt der Einheimischen in %s steht bei %d;Rodzima agresywnoњж w %s ustawiona na poziom %d.;;Агрессивность аборигенов в %s изменилась в %d;;;X
EE_FORT;Fortress in %s: %s%d;Forteresse а %s: %s%d;Fortezza in %s: %s%d.;Fortif. en %s: %s%d;Befestigung in %s: %s%d;Forteca w %s: %s%d;;Крепость в %s: %s%d;;;X
EE_POP;Population in %s: %s%d;Population de %s: %s%d;Popolazione in %s: %s%d.;Poblaciуn de %s: %s%d;Bevцlkerung in %s: %s%d;Populacja w %s: %s%d;;Население в %s: %s%d;;;X
EE_N_REVOLT;Revolt in %s.;Rйvolte а %s.;Rivolta a %s;Revuelta en %s.;Rebellion in %s.;Rewolucja w %s.;;Восстание в %s.;;;X
EE_R_REVOLT;Revolt in %s.;Rйvolte а %s.;Rivolta a %s;Revuelta en %s.;Rebellion in %s.;Rewolucja w %s.;;Восстание в %s.;;;X
EE_C_REVOLT;Revolt in %s.;Rйvolte а %s.;Rivolta a %s;Revuelta en %s.;Rebellion in %s.;Rewolucja w %s.;;Восстание в %s.;;;X
EE_HERETICS;Heresy in %s;Hйrйsie а %s;Eresia in %s.;Herejes en %s;Ketzerei in %s;Herezja w %s.;;Ересь в %s;;;X
EE_CONVERTED;%s converts to the state religion.;%s se convertit а la religion officielle.;%s si converte alla religione di Stato.;%s se convierte a la religiуn oficial.;%s konvertiert zur Staatsreligion.;%s przechodzi na religiк paсstwow№.;;%s перешла в государственную религию.;;;X
EE_P_RR;Revoltrisk in %s:  %s%d;Risque de rйvolte а %s: %s%d;Pericolo di rivolta a %s: %s%d;Riesgo levant. %s: %s%d;Rebellionsrisiko in %s: %s%d;Zagroїenie rewolucj№ w %s: %s%d;;Риск восстания в %s: %s%d;;;X
EE_P_REL;%s converts to %s.;%s se convertit а %s.;%s si converte al %s.;%s se convierte a %s.;%s konvertiert zu %s.;%s przechodzi na %s.;;%s изменился на %s.;;;X
EE_P_ADM;Monarchs administrative skill changed by %d for the next %d months.;Compйtences administratives des monarques changйes par %d pour les %d prochains mois.;L'abilitа amministrativa del monarca cambia di %d per i prossimi %d mesi.;Habilidad de gestiуn de los monarcas cambia en %d en los %d meses siguientes.;Die Verwaltungsfдhigkeiten des Monarchen werden um %d fьr die nдchsten %d Monate verдndert.;Zdolnoњci administracyjne panuj№cego zmienione o %d na czas %d miesiкcy.;;Административный навык главы государства изменен на %d в течение следующих %d месяцев.;;;X
EE_P_DIP;Monarchs diplomatic skill changed by %d for the next %d months.;Compйtences diplomatiques des monarques changйes par %d pour les %d prochains mois.;L'abilitа diplomatica del monarca cambia di %d per i prossimi %d mesi.;Habilidad diplomбtica de los monarcas cambia en %d en los %d meses siguientes.;Die diplomatischen Fдhigkeiten des Monarchen werden um %d fьr die nдchsten %d Monate verдndert.;Zdolnoњci dyplomatyczne panuj№cego zmienione o %d na czas %d miesiкcy.;;Дипломатический навык главы государства изменен на %d в течение следующих %d месяцев.;;;X
EE_P_MIL;Monarchs military skil change by %d for the next %d months.;Compйtences militaires des monarques changйes par%d pour les %d prochains mois.;L'abilitа militare del monarca cambia di %d per i prossimi %d mesi.;Habilidad militar de los monarcas cambia en %d en los %d meses siguientes.;Die militдrischen Fдhigkeiten des Monarchen werden um %d fьr die nдchsten %d Monate verдndert.;Zdolnoњci militarne panuj№cego zmienione o %d na czas %d miesiкcy.;;Военный навык  главы государства изменен на %d в течение следующих %d месяцев.;;;X
EE_S_REL;State religion changed to %s.;La religion officielle est passйe а %s.;La religione di Stato и cambiata in %s.;Religiуn oficial ha cambiado a %s.;Staatsreligion geдndert zu %s.;Religia paсstwowa zmieniona na %s.;;Государственная религия изменена на %s.;;;X
EE_RRISK;Revoltrisk changed by %s%d for the next %d months.;Risque de rйvolte changй par %s%d pour les %d prochains mois.;Il pericolo di rivolta cambia di %s%d per i prossimi %d mesi.;Riesgo levant. cambia en %s%d en los %d meses siguientes.;Rebellionsrisiko um %s%d fьr die nдchsten %d Monate geдndert.;Zagroїenie rewolucj№ zmienione o %s%d na czas %d miesiкcy.;;Уровень недовольства изменен на %s%d в течение следующих %d месяцев.;;;X
EE_INFLATION;Inflation: %s%d;Inflation : %s%d;Inflazione: %s%d.;Inflaciуn: %s%d;Inflation: %s%d;Inflacja: %s%d;;Инфляция: %s%d;;;X
EE_BROY;Royal Marriage with %s broken.;Rupture du mariage royal avec %s.;Il matrimonio regale con %s и infranto.;Se ha roto matrim. real con %s.;Kцnigliche Heirat mit %s gescheitert.;Anulowano krуlewskie maіїeсstwo z: %s;;Королевский брак со страной %s расторгнут.;;;X
EE_BVAS;Vassalisation with %s broken.;Rupture du statut de vassalitй avec %s.;Il vassallaggio con %s и infranto.;Se ha roto pacto vasall. con %s.;Vasallisierung mit %s aufgehoben.;Anulowano wasalizacjк z: %s;;Вассализация страны %s была расторгнута.;;;X
EE_ROY;Gain a Royal Marriage with %s.;Conclure un mariage royal avec %s.;Ottieni un matrimonio regale con %s.;Obtener matrimonio real con %s.;Kцnigliche Heirat mit %s erlangen.;Zawarto krуlewskie maіїeсstwo z: %s;;Заключить Королевский брак со страной %s.;;;X
EE_VAS;Gain %s as vassals.;Prendre %s comme vassaux.;Guadagni %s come vassalli.;Obtener a %s como vasallos.;%s als Vasallen bekommen.;%s jest wasalem.;;Установить протекторат над %s.;;;X
EE_ALL;Alliance with %s.;Alliance avec %s.;Alleanza con %s;Alianza con %s.;Bьndnis mit %s.;Sojusz z %s.;;Союз с государством %s.;;;X
EE_INHERIT;Inherit the realms of %s.;Annexe %s.;Annetti i regni di %s.;Heredar los reinos de %s.;Reich von %s erben.;Dokonaj aneksji paсstwa: %s.;;Включить страну %s в свое государство.;;;X
EE_CASH;%s%d$;%s%d$;%s%d$;%s%d $;%s%d$;%s%d$;;%s%d$;;;X
EE_MANPOWER;Manpower: %s%d;Main d'oeuvre : %s%d;Forza lavoro: %s%d.;Recursos humanos: %s%d;Wehrfдhige: %s%d;Zasoby ludzkie:: %s%d;;Людские ресурсы: %s%d;;;X
EE_RELATIVE_MANPOWER;Immediate Manpower change by %s%d\%% of total population.;Modification immйdiate de la main-d'њuvre par %s%d\%% de population totale.;Modifica immediata della manodopera di %s%d\%% della popolazione totale.;Los rec. hum. inmediatos cambian en un %s%d\%% de la poblaciуn total.;Wehrfдhigen-Anzahl verдndert um %s%d\%% der Gesamtmenge.;Natychmiastowa zmiana zasobуw ludzkich o %s%d\%% caіkowitej populacji.;;Немедленное изменение людских ресурсов на %s%d\%% всего населения.;;;X
EE_LANDTECH;Land Investment: %s%d;Investissement terrien : %s%d;Investimento terrestre: %s%d.;Inversiуn terr.: %s%d;Landinvestition: %s%d;Inwestycje l№dowe: %s%d;;Инвестиции в сухопутные технологии: %s%d;;;X
EE_NAVALTECH;Naval Investment: %s%d;Investissement naval : %s%d;Investimento navale: %s%d.;Inversiуn naval: %s%d;Marine-Investition: %s%d;Inwestycje we flotк: %s%d;;Военно-морские инвестиции: %s%d;;;X
EE_INFRATECH;Infra Investment: %s%d;Investissement infra : %s%d;Investimento infrastrutture: %s%d.;Inversiуn infraes.: %s%d;Infra-Investition: %s%d;Inwestycje w infra.: %s%d;;Инвестиции в инфраструктуру: %s%d;;;X
EE_TRADETECH;Trade Investment: %s%d;Investissement commercial : %s%d;Investimento commercio: %s%d.;Inversiуn comercio: %s%d;Handelsinvestition: %s%d;Inwestycje handlowe: %s%d;;Торговые инвестиции: %s%d;;;X
EE_STABILITY;Stability: %s%d;Stabilitй : %s%d;Stabilitа: %s%d.;Estabilidad: %s%d;Stabilitдt: %s%d;Stabilnoњж: %s%d;;Стабильность: %s%d;;;X
EE_DIPLOMAT;Diplomats: %s%d;Diplomates : %s%d;Diplomatici: %s%d.;Diplomбticos: %s%d;Diplomaten: %s%d;Dyplomaci: %s%d;;Дипломаты: %s%d;;;X
EE_COLONIST;Colonists: %s%d;Colonialistes : %s%d;Coloni: %s%d.;Colonos: %s%d;Kolonisten: %s%d;Kolonizatorzy: %s%d;;Колонисты: %s%d;;;X
EE_MERCHANT;Merchants: %s%d;Marchands : %s%d;Mercanti: %s%d.;Comerciantes: %s%d;Hдndler: %s%d;Handlowcy: %s%d;;Торговцы: %s%d;;;X
EE_MISSIONARY;Missionaries: %s%d;Missionnaires : %s%d;Missionari: %s%d.;Misioneros: %s%d;Missionare: %s%d;Misjonarze: %s%d;;Миссионеры: %s%d;;;X
EE_CONQUISTADOR;Gain conquistador in %s.;Obtenir un conquistador а %s.;Ottieni un conquistatore in %s.;Obtener conquist. en %s.;Konquistador in %s erhalten.;Pozyskaj konkwistadora w %s.;;Получить конкистадора в %s.;;;X
EE_EXPLORER;Gain explorer in %s.;Obtenir un explorateur а %s.;Ottieni un esploratore in %s.;Obtener explor. en %s.;Erforscher in %s erhalten.;Pozyskaj odkrywcк w %s.;;Получить исследователя в %s.;;;X
EE_LEADER;Gain the service of %s.;Obtenir des services de %s.;Ottieni i servizi di %s.;Obtener servicio de %s.;Dienste von %s erhalten.;Pozyskaj usіugi %s.;;Получить командира %s.;;;X
EE_MONARCH;Make %s the leader of your country.;Faire de %s le leader de votre pays.;Eleggi %s Capo della nazione.;Hacer que %s sea lнder de nuestro paнs.;%s zu Ihrem Staatsoberhaupt machen;Mianuj %s przywуdc№ swojego paсstwa.;;%s станет главой государства.;;;X
EE_SLEADER;The military leader %s will no longer be available.;Le leader militaire %s n'est plus en fonction.;Il comandante militare %s non и piщ disponibile.;El lнder militar %s ya no estarб disponible.;Der militдrische Anfьhrer %s ist nicht mehr verfьgbar.;Przywуdca wojskowy %s nie bкdzie juї dostкpny.;;Военачальник %s теперь не доступен.;;;X
