IRE;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
25110;Head of Military Intelligence;Dan McKenna;1938;1964;1999;ML;Technical Specialist;High;M25110;x
25111;Head of Military Intelligence;Oscar Traynor;1939;1964;1999;ML;Logistics Specialist;High;M25111;x
25112;Head of Military Intelligence;Jack Lynch;1947;1964;1999;ML;Political Specialist;High;M25112;x
25113;Head of Military Intelligence;Liam Archer;1936;1964;1999;SC;Dismal Enigma;High;M25113;x
25114;Head of Military Intelligence;Joseph Walshe;1941;1964;1999;SC;Industrial Specialist;High;M25114;x
25115;Head of Military Intelligence;Thomas Teevan;1944;1964;1999;SC;Naval Intelligence Specialist;High;M25115;x
25116;Head of Military Intelligence;Sean MacEoin;1947;1964;1999;SC;Political Specialist;High;M25028;x
25117;Head of Military Intelligence;Donal Brackley;1936;1964;1999;FA;Industrial Specialist;High;M25014;x
25118;Head of Military Intelligence;Patrick Sweeney;1939;1964;1999;FA;Dismal Enigma;Medium;M25012;x
25119;Head of Military Intelligence;Sean Murray;1936;1964;1999;LE;Naval Intelligence Specialist;High;M25026;x
25120;Head of Military Intelligence;Betty Sinclair;1939;1964;1999;LE;Technical Specialist;High;M25104;x
25121;Chief of Staff;Norman Devlin;1936;1964;1999;SD;School of Manoeuvre;Very Low;M25121;x
25122;Chief of Staff;Seán O'Grady;1944;1964;1999;SD;School of Psychology;High;M25122;x
25123;Chief of Staff;Michael Brennan;1936;1964;1999;ML;School of Defence;High;M25123;x
25124;Chief of Staff;Dan Bryan;1939;1964;1999;ML;School of Fire Support;High;M25124;x
25125;Chief of Staff;Dan McKenna;1942;1964;1999;ML;School of Mass Combat;High;M25125;x
25126;Chief of Staff;Richard Mulcahy;1936;1964;1999;SC;School of Psychology;High;M25126;x
25127;Chief of Staff;Conor Maguire;1941;1964;1999;SC;School of Mass Combat;High;M25127;x
25128;Chief of Staff;Liam Archer;1947;1964;1999;SC;School of Fire Support;High;M25113;x
25129;Chief of Staff;Hubert de la Poer Gough;1936;1964;1999;PA;School of Mass Combat;High;M25017;x
25130;Chief of Staff;Padraig O'Connor;1936;1964;1999;LE;School of Psychology;High;M25027;x
25131;Chief of Staff;Frank Lynch;1941;1964;1999;LWR;School of Mass Combat;High;M25131;x
25132;Chief of Army;Cecil Lavery;1936;1964;1999;SD;Decisive Battle Doctrine;High;M25069;x
25133;Chief of Army;William Norton;1941;1964;1999;SD;Guns and Butter Doctrine;High;M25044;x
25134;Chief of Army;Emmett Dalton;1947;1964;1999;ML;Elastic Defence Doctrine;High;M25134;x
25135;Chief of Army;Frank Fahy;1936;1964;1999;ML;Static Defence Doctrine;High;M25031;x
25136;Chief of Army;M.J. Costello;1937;1964;1999;ML;Elastic Defence Doctrine;High;M25007;x
25137;Chief of Army;Liam Archer;1936;1964;1999;SC;Armoured Spearhead Doctrine;High;M25113;x
25138;Chief of Army;Eoin O'Duffy;1936;1964;1999;FA;Elastic Defence Doctrine;High;M25138;x
25139;Chief of Army;Seán MacEoin;1936;1964;1999;LWR;Decisive Battle Doctrine;High;M25028;x
25140;Chief of Navy;A.T. Lawlor;1936;1964;1999;SD;Open Seas Doctrine;High;M25140;x
25141;Chief of Navy;S. O'Muiris;1941;1964;1999;SD;Decisive Naval Battle Doctrine;High;M25141;x
25142;Chief of Navy;Seán MacEntee;1936;1964;1999;ML;Open Seas Doctrine;High;M25004;x
25143;Chief of Navy;Thomas Derrig;1941;1964;1999;ML;Power Projection Doctrine;High;M25143;x
25144;Chief of Navy;Seán T. O'Ceallaigh;1944;1964;1999;ML;Base Control Doctrine;High;M25036;x
25145;Chief of Navy;A.H.J. Jerome;1947;1964;1999;ML;Indirect Approach Doctrine;High;M25145;x
25146;Chief of Navy;John O'Byrne;1936;1964;1999;SC;Power Projection Doctrine;High;M25081;x
25148;Chief of Navy;Eamonn Broy;1936;1964;1999;FA;Power Projection Doctrine;High;M25015;x
25149;Chief of Navy;William McCullough;1936;1964;1999;LWR;Decisive Naval Battle Doctrine;High;M25029;x
25150;Chief of Air Force;Cearbhall O'Dalaigh;1936;1964;1999;SD;Vertical Envelopment Doctrine;High;M25092;x
25151;Chief of Air Force;M.J. Costello;1936;1964;1999;ML;Army Aviation Doctrine;High;M25007;x
25152;Chief of Air Force;Oscar Traynor;1939;1964;1999;ML;Vertical Envelopment Doctrine;High;M25152;x
25153;Chief of Air Force;Charles Casey;1941;1964;1999;ML;Air Superiority Doctrine;High;M25153;x
25154;Chief of Air Force;W. Delamere;1944;1964;1999;ML;Naval Aviation Doctrine;High;M25154;x
25155;Chief of Air Force;H.T. Green;1936;1964;1999;SC;Naval Aviation Doctrine;High;M25009;x
25156;Chief of Air Force;P. Quinn;1944;1964;1999;SC;Carpet Bombing Doctrine;High;M25156;x
25157;Chief of Air Force;Jack White;1936;1964;1999;FA;Army Aviation Doctrine;High;M25020;x
25158;Chief of Air Force;Pieras Beaslai;1936;1964;1999;LWR;Air Superiority Doctrine;High;M25030;x
25159;Head of State;Seán T. O'Ceallaigh;1947;1964;1999;SC;Autocratic Charmer;High;M25036;x
25160;Head of State;H.R.M. Edward VIII;1936;1964;1999;SC;revanchist monarch;High;M1011;x
25161;Head of State;H.R.M. Brian III;1936;1964;1999;SC;german aristocrat;High;kai_brianIII;x
25162;Head of State;H.R.M. Brian III;1936;1964;1999;PA;german aristocrat;High;kai_brianIII;x
